f	pi	p0
0.02564	619.0	759.0
0.05128	245.0	401.0
0.07692	117.0	240.0
0.10256	87.0	157.0
0.12821	59.0	159.0
0.15385	48.0	117.0
0.17949	49.0	115.0
0.20513	24.0	80.0
0.23077	21.0	63.0
0.25641	29.0	89.0
0.28205	32.0	78.0
0.30769	15.0	53.0
0.33333	11.0	60.0
0.35897	20.0	57.0
0.38462	15.0	61.0
0.41026	8.0	49.0
0.4359	23.0	57.0
0.46154	13.0	56.0
0.48718	17.0	23.0
0.51282	6.0	30.0
0.53846	12.0	36.0
0.5641	4.0	58.0
0.58974	12.0	43.0
0.61538	10.0	30.0
0.64103	9.0	23.0
0.66667	12.0	33.0
0.69231	4.0	40.0
0.71795	11.0	26.0
0.74359	6.0	25.0
0.76923	5.0	25.0
0.79487	5.0	27.0
0.82051	10.0	32.0
0.84615	6.0	27.0
0.87179	2.0	27.0
0.89744	2.0	17.0
0.92308	7.0	21.0
0.94872	10.0	11.0
0.97436	4.0	19.0
1.0	4.0	22.0
