id	pop	alpha	pvalue	test
FBgn0000008	RAL	-0.23	0.6120706208720386	std
FBgn0000008	RAL	-0.12081128747795411	0.8641276203045641	emkt1
FBgn0000008	RAL	-0.09347442680776008	0.8642239153999967	emkt2
FBgn0000008	RAL	0.1962962962962963	0.7856381101878088	fww1
FBgn0000008	RAL	0.5079365079365079	0.49377471191533545	fww2
FBgn0000008	RAL	0.196	0.5931044769654314	imp1
FBgn0000008	RAL	0.508	0.08781116323457686	imp2
FBgn0000014	RAL	-9.0	0.11452991452991466	std
FBgn0000017	RAL	0.583	0.03215528049381016	std
FBgn0000018	RAL	0.238	0.794642705997934	std
FBgn0000018	RAL	0.03076923076923077	1.0	emkt1
FBgn0000018	RAL	0.03076923076923077	1.0	emkt2
FBgn0000018	RAL	-0.3500000000000001	0.7351588805348741	fww1
FBgn0000018	RAL	-0.3500000000000001	0.7351588805348741	fww2
FBgn0000018	RAL	-0.35	0.633836202556387	imp1
FBgn0000018	RAL	-0.35	0.633836202556387	imp2
FBgn0000024	RAL	-7.846	0.006977243481751006	std
FBgn0000024	RAL	-9.615384615384617	0.0036137180752862435	emkt1
FBgn0000024	RAL	-10.5	0.0016240623281330016	emkt2
FBgn0000024	RAL	-13.375	0.00742357818848031	fww1
FBgn0000024	RAL	-18.166666666666668	0.004098268558780231	fww2
FBgn0000024	RAL	-13.375	0.0003559043947892458	imp1
FBgn0000024	RAL	-18.167	3.014266606094794e-05	imp2
FBgn0000032	RAL	0.356	0.5410997911327783	std
FBgn0000032	RAL	0.3560606060606061	0.54109979113278	emkt1
FBgn0000032	RAL	0.29166666666666663	1.0	fww1
FBgn0000032	RAL	0.292	0.54109979113278	imp1
FBgn0000036	RAL	-0.571	0.9999999999999969	std
FBgn0000037	RAL	-1.743	0.09728502562543159	std
FBgn0000037	RAL	-0.8285714285714285	0.3689306132633072	emkt1
FBgn0000037	RAL	-1.2857142857142856	0.24246406065079634	emkt2
FBgn0000037	RAL	0.4285714285714286	1.0	fww1
FBgn0000037	RAL	0.1428571428571429	0.9999999999999947	fww2
FBgn0000037	RAL	0.429	0.46034483531709225	imp1
FBgn0000037	RAL	0.143	0.7258373674863284	imp2
FBgn0000052	RAL	-1.644	0.0024012225762934172	std
FBgn0000052	RAL	-1.148305084745763	0.02605648209114291	emkt1
FBgn0000052	RAL	-1.148305084745763	0.02605648209114291	emkt2
FBgn0000052	RAL	-0.23809523809523814	0.8030372902056426	fww1
FBgn0000052	RAL	-0.02631578947368407	0.9999999999999356	fww2
FBgn0000052	RAL	-0.238	0.5980096122295503	imp1
FBgn0000052	RAL	-0.026	0.9999999999998971	imp2
FBgn0000053	RAL	-0.322	0.3878003301822776	std
FBgn0000053	RAL	0.008750000000000036	1.0	emkt1
FBgn0000053	RAL	-0.016666666666666607	1.0	emkt2
FBgn0000053	RAL	0.464390243902439	0.21746039887744711	fww1
FBgn0000053	RAL	0.6064516129032258	0.10604795985453848	fww2
FBgn0000053	RAL	0.464	0.06494787144047436	imp1
FBgn0000053	RAL	0.606	0.011771838551084888	imp2
FBgn0000055	RAL	0.259	1.0	std
FBgn0000055	RAL	0.6296296296296297	0.602683178534572	emkt1
