f	pi	p0
0.02564	9054.0	4954.0
0.05128	4043.0	2493.0
0.07692	2460.0	1705.0
0.10256	1787.0	1197.0
0.12821	1407.0	961.0
0.15385	1168.0	814.0
0.17949	946.0	648.0
0.20513	749.0	590.0
0.23077	713.0	488.0
0.25641	627.0	411.0
0.28205	606.0	422.0
0.30769	504.0	397.0
0.33333	503.0	387.0
0.35897	421.0	360.0
0.38462	373.0	254.0
0.41026	293.0	267.0
0.4359	388.0	252.0
0.46154	294.0	215.0
0.48718	241.0	208.0
0.51282	250.0	215.0
0.53846	266.0	225.0
0.5641	226.0	203.0
0.58974	290.0	190.0
0.61538	203.0	215.0
0.64103	202.0	141.0
0.66667	214.0	187.0
0.69231	189.0	196.0
0.71795	192.0	164.0
0.74359	188.0	136.0
0.76923	162.0	120.0
0.79487	171.0	164.0
0.82051	198.0	183.0
0.84615	190.0	128.0
0.87179	141.0	122.0
0.89744	157.0	135.0
0.92308	210.0	145.0
0.94872	186.0	110.0
0.97436	143.0	133.0
1.0	146.0	122.0
