f	pi	p0
0.02564	9012.0	5191.0
0.05128	3917.0	2567.0
0.07692	2573.0	1759.0
0.10256	1758.0	1177.0
0.12821	1377.0	923.0
0.15385	1180.0	777.0
0.17949	993.0	661.0
0.20513	778.0	622.0
0.23077	691.0	513.0
0.25641	644.0	433.0
0.28205	562.0	460.0
0.30769	514.0	359.0
0.33333	499.0	347.0
0.35897	383.0	324.0
0.38462	417.0	290.0
0.41026	356.0	297.0
0.4359	348.0	265.0
0.46154	277.0	199.0
0.48718	280.0	219.0
0.51282	283.0	196.0
0.53846	282.0	226.0
0.5641	229.0	159.0
0.58974	266.0	194.0
0.61538	211.0	218.0
0.64103	225.0	177.0
0.66667	210.0	178.0
0.69231	238.0	197.0
0.71795	202.0	190.0
0.74359	186.0	121.0
0.76923	165.0	147.0
0.79487	144.0	167.0
0.82051	166.0	173.0
0.84615	194.0	133.0
0.87179	186.0	117.0
0.89744	125.0	128.0
0.92308	164.0	143.0
0.94872	183.0	116.0
0.97436	159.0	123.0
1.0	133.0	113.0
