f	pi	p0
0.02564	5859.0	5120.0
0.05128	2375.0	2463.0
0.07692	1477.0	1621.0
0.10256	1003.0	1229.0
0.12821	744.0	964.0
0.15385	584.0	818.0
0.17949	469.0	711.0
0.20513	408.0	572.0
0.23077	351.0	529.0
0.25641	324.0	494.0
0.28205	319.0	447.0
0.30769	276.0	417.0
0.33333	209.0	354.0
0.35897	206.0	354.0
0.38462	213.0	265.0
0.41026	186.0	265.0
0.4359	196.0	258.0
0.46154	165.0	254.0
0.48718	134.0	224.0
0.51282	137.0	251.0
0.53846	152.0	202.0
0.5641	94.0	180.0
0.58974	121.0	195.0
0.61538	85.0	201.0
0.64103	109.0	182.0
0.66667	108.0	213.0
0.69231	51.0	172.0
0.71795	70.0	157.0
0.74359	109.0	162.0
0.76923	99.0	189.0
0.79487	86.0	136.0
0.82051	79.0	118.0
0.84615	75.0	119.0
0.87179	65.0	153.0
0.89744	92.0	132.0
0.92308	52.0	111.0
0.94872	65.0	101.0
0.97436	53.0	127.0
1.0	54.0	112.0
