f	pi	p0
0.02564	6134.0	5187.0
0.05128	2416.0	2527.0
0.07692	1519.0	1694.0
0.10256	1032.0	1170.0
0.12821	749.0	986.0
0.15385	552.0	792.0
0.17949	468.0	698.0
0.20513	415.0	562.0
0.23077	328.0	515.0
0.25641	312.0	530.0
0.28205	292.0	457.0
0.30769	281.0	405.0
0.33333	223.0	346.0
0.35897	211.0	344.0
0.38462	197.0	329.0
0.41026	173.0	285.0
0.4359	171.0	222.0
0.46154	150.0	216.0
0.48718	137.0	241.0
0.51282	139.0	265.0
0.53846	145.0	216.0
0.5641	113.0	168.0
0.58974	112.0	194.0
0.61538	80.0	195.0
0.64103	107.0	198.0
0.66667	115.0	174.0
0.69231	81.0	172.0
0.71795	80.0	165.0
0.74359	85.0	143.0
0.76923	99.0	159.0
0.79487	103.0	144.0
0.82051	88.0	141.0
0.84615	63.0	124.0
0.87179	61.0	137.0
0.89744	69.0	160.0
0.92308	51.0	102.0
0.94872	72.0	117.0
0.97436	51.0	124.0
1.0	50.0	107.0
