f	pi	p0
0.02564	5934.0	5172.0
0.05128	2384.0	2520.0
0.07692	1438.0	1699.0
0.10256	1058.0	1242.0
0.12821	735.0	969.0
0.15385	556.0	799.0
0.17949	459.0	678.0
0.20513	412.0	575.0
0.23077	341.0	499.0
0.25641	341.0	498.0
0.28205	297.0	428.0
0.30769	279.0	420.0
0.33333	213.0	348.0
0.35897	216.0	337.0
0.38462	200.0	311.0
0.41026	179.0	280.0
0.4359	177.0	254.0
0.46154	144.0	255.0
0.48718	129.0	236.0
0.51282	140.0	255.0
0.53846	140.0	211.0
0.5641	104.0	183.0
0.58974	109.0	198.0
0.61538	99.0	194.0
0.64103	106.0	186.0
0.66667	107.0	179.0
0.69231	68.0	154.0
0.71795	82.0	158.0
0.74359	101.0	152.0
0.76923	94.0	172.0
0.79487	90.0	136.0
0.82051	78.0	134.0
0.84615	74.0	123.0
0.87179	75.0	141.0
0.89744	71.0	134.0
0.92308	60.0	141.0
0.94872	68.0	109.0
0.97436	54.0	118.0
1.0	53.0	102.0
