f	pi	p0
0.02564	6137.0	5127.0
0.05128	2285.0	2485.0
0.07692	1454.0	1771.0
0.10256	1133.0	1254.0
0.12821	729.0	1008.0
0.15385	557.0	810.0
0.17949	467.0	661.0
0.20513	368.0	540.0
0.23077	343.0	520.0
0.25641	348.0	510.0
0.28205	252.0	402.0
0.30769	267.0	427.0
0.33333	235.0	364.0
0.35897	202.0	351.0
0.38462	195.0	318.0
0.41026	192.0	264.0
0.4359	201.0	240.0
0.46154	136.0	240.0
0.48718	118.0	215.0
0.51282	142.0	267.0
0.53846	114.0	194.0
0.5641	102.0	184.0
0.58974	109.0	212.0
0.61538	97.0	199.0
0.64103	107.0	180.0
0.66667	107.0	178.0
0.69231	79.0	163.0
0.71795	75.0	161.0
0.74359	111.0	168.0
0.76923	94.0	185.0
0.79487	87.0	154.0
0.82051	97.0	137.0
0.84615	74.0	135.0
0.87179	59.0	122.0
0.89744	76.0	122.0
0.92308	64.0	151.0
0.94872	76.0	127.0
0.97436	60.0	109.0
1.0	57.0	101.0
