f	pi	p0
0.02564	5844.0	5071.0
0.05128	2337.0	2508.0
0.07692	1452.0	1749.0
0.10256	1063.0	1227.0
0.12821	701.0	984.0
0.15385	572.0	819.0
0.17949	492.0	675.0
0.20513	424.0	561.0
0.23077	333.0	493.0
0.25641	301.0	484.0
0.28205	284.0	366.0
0.30769	276.0	396.0
0.33333	209.0	347.0
0.35897	239.0	341.0
0.38462	185.0	322.0
0.41026	166.0	270.0
0.4359	179.0	267.0
0.46154	155.0	266.0
0.48718	120.0	254.0
0.51282	130.0	264.0
0.53846	136.0	197.0
0.5641	113.0	188.0
0.58974	111.0	171.0
0.61538	102.0	220.0
0.64103	109.0	218.0
0.66667	103.0	157.0
0.69231	52.0	155.0
0.71795	86.0	136.0
0.74359	101.0	143.0
0.76923	90.0	183.0
0.79487	89.0	159.0
0.82051	94.0	140.0
0.84615	65.0	132.0
0.87179	90.0	154.0
0.89744	86.0	135.0
0.92308	66.0	142.0
0.94872	74.0	122.0
0.97436	64.0	120.0
1.0	46.0	95.0
