f	pi	p0	pw
0.02564	657.0	431.0	14.0
0.05128	217.0	142.0	8.0
0.07692	130.0	106.0	1.0
0.10256	84.0	86.0	6.0
0.12821	67.0	68.0	2.0
0.15385	34.0	56.0	0.0
0.17949	47.0	39.0	0.0
0.20513	34.0	34.0	1.0
0.23077	10.0	23.0	0.0
0.25641	27.0	43.0	0.0
0.28205	16.0	26.0	1.0
0.30769	13.0	28.0	0.0
0.33333	28.0	24.0	0.0
0.35897	10.0	17.0	2.0
0.38462	32.0	21.0	1.0
0.41026	5.0	28.0	0.0
0.4359	12.0	13.0	0.0
0.46154	11.0	20.0	0.0
0.48718	6.0	19.0	0.0
0.51282	8.0	11.0	0.0
0.53846	8.0	17.0	0.0
0.5641	4.0	20.0	0.0
0.58974	3.0	20.0	0.0
0.61538	10.0	5.0	0.0
0.64103	8.0	21.0	1.0
0.66667	12.0	16.0	1.0
0.69231	12.0	16.0	2.0
0.71795	3.0	19.0	0.0
0.74359	10.0	9.0	0.0
0.76923	6.0	6.0	2.0
0.79487	7.0	3.0	0.0
0.82051	13.0	13.0	1.0
0.84615	7.0	2.0	0.0
0.87179	7.0	7.0	0.0
0.89744	2.0	9.0	0.0
0.92308	7.0	8.0	0.0
0.94872	5.0	8.0	0.0
0.97436	2.0	2.0	0.0
1.0	4.0	8.0	0.0
