f	pi	p0	pw
0.02564	644.0	410.0	7.0
0.05128	194.0	130.0	5.0
0.07692	107.0	102.0	2.0
0.10256	87.0	76.0	3.0
0.12821	68.0	80.0	5.0
0.15385	45.0	66.0	0.0
0.17949	40.0	27.0	0.0
0.20513	35.0	30.0	0.0
0.23077	12.0	21.0	0.0
0.25641	32.0	31.0	0.0
0.28205	30.0	42.0	0.0
0.30769	16.0	35.0	0.0
0.33333	25.0	24.0	1.0
0.35897	9.0	23.0	1.0
0.38462	27.0	17.0	2.0
0.41026	9.0	12.0	1.0
0.4359	12.0	24.0	0.0
0.46154	14.0	29.0	0.0
0.48718	6.0	14.0	0.0
0.51282	5.0	14.0	0.0
0.53846	15.0	23.0	0.0
0.5641	9.0	17.0	0.0
0.58974	2.0	12.0	0.0
0.61538	7.0	6.0	0.0
0.64103	4.0	14.0	0.0
0.66667	8.0	17.0	1.0
0.69231	8.0	10.0	2.0
0.71795	5.0	14.0	0.0
0.74359	9.0	8.0	0.0
0.76923	14.0	11.0	2.0
0.79487	7.0	5.0	0.0
0.82051	16.0	11.0	3.0
0.84615	12.0	2.0	0.0
0.87179	4.0	9.0	0.0
0.89744	2.0	10.0	0.0
0.92308	5.0	9.0	0.0
0.94872	7.0	4.0	0.0
0.97436	2.0	4.0	0.0
1.0	5.0	6.0	0.0
