f	pi	p0	pw
0.02564	664.0	407.0	7.0
0.05128	216.0	141.0	2.0
0.07692	153.0	118.0	0.0
0.10256	85.0	80.0	5.0
0.12821	73.0	68.0	2.0
0.15385	43.0	61.0	0.0
0.17949	26.0	28.0	0.0
0.20513	36.0	32.0	0.0
0.23077	22.0	19.0	0.0
0.25641	21.0	29.0	0.0
0.28205	17.0	30.0	1.0
0.30769	17.0	33.0	0.0
0.33333	21.0	20.0	0.0
0.35897	13.0	23.0	2.0
0.38462	18.0	22.0	1.0
0.41026	13.0	24.0	0.0
0.4359	7.0	20.0	0.0
0.46154	14.0	27.0	0.0
0.48718	7.0	9.0	0.0
0.51282	10.0	16.0	0.0
0.53846	5.0	11.0	0.0
0.5641	6.0	11.0	0.0
0.58974	7.0	15.0	0.0
0.61538	1.0	14.0	0.0
0.64103	7.0	17.0	0.0
0.66667	7.0	21.0	2.0
0.69231	4.0	14.0	1.0
0.71795	4.0	9.0	0.0
0.74359	5.0	4.0	0.0
0.76923	7.0	14.0	0.0
0.79487	2.0	3.0	0.0
0.82051	8.0	11.0	2.0
0.84615	8.0	5.0	0.0
0.87179	10.0	8.0	0.0
0.89744	2.0	7.0	0.0
0.92308	7.0	8.0	0.0
0.94872	1.0	10.0	0.0
0.97436	1.0	0.0	0.0
1.0	8.0	16.0	0.0
