f	pi	p0	pw
0.02564	680.0	361.0	8.0
0.05128	236.0	119.0	4.0
0.07692	133.0	101.0	2.0
0.10256	73.0	66.0	7.0
0.12821	77.0	66.0	6.0
0.15385	52.0	63.0	0.0
0.17949	39.0	43.0	0.0
0.20513	34.0	29.0	2.0
0.23077	18.0	23.0	0.0
0.25641	39.0	25.0	0.0
0.28205	34.0	31.0	4.0
0.30769	14.0	29.0	0.0
0.33333	24.0	17.0	1.0
0.35897	19.0	23.0	1.0
0.38462	22.0	30.0	0.0
0.41026	18.0	35.0	0.0
0.4359	13.0	21.0	0.0
0.46154	9.0	33.0	0.0
0.48718	6.0	11.0	0.0
0.51282	13.0	14.0	0.0
0.53846	3.0	18.0	0.0
0.5641	13.0	22.0	0.0
0.58974	5.0	19.0	0.0
0.61538	5.0	8.0	0.0
0.64103	9.0	17.0	0.0
0.66667	16.0	21.0	2.0
0.69231	6.0	10.0	1.0
0.71795	6.0	6.0	0.0
0.74359	5.0	5.0	0.0
0.76923	5.0	11.0	1.0
0.79487	6.0	9.0	0.0
0.82051	10.0	5.0	1.0
0.84615	8.0	2.0	0.0
0.87179	7.0	8.0	0.0
0.89744	1.0	6.0	0.0
0.92308	8.0	17.0	0.0
0.94872	5.0	5.0	0.0
0.97436	2.0	1.0	0.0
1.0	1.0	12.0	0.0
