f	pi	p0	pw
0.02564	616.0	416.0	12.0
0.05128	221.0	151.0	3.0
0.07692	91.0	101.0	1.0
0.10256	75.0	96.0	2.0
0.12821	81.0	72.0	3.0
0.15385	44.0	58.0	0.0
0.17949	39.0	46.0	0.0
0.20513	39.0	44.0	4.0
0.23077	19.0	24.0	0.0
0.25641	32.0	33.0	0.0
0.28205	28.0	25.0	2.0
0.30769	13.0	33.0	0.0
0.33333	13.0	21.0	0.0
0.35897	9.0	18.0	0.0
0.38462	26.0	19.0	1.0
0.41026	13.0	35.0	1.0
0.4359	12.0	17.0	0.0
0.46154	10.0	21.0	0.0
0.48718	5.0	17.0	0.0
0.51282	8.0	22.0	0.0
0.53846	6.0	11.0	0.0
0.5641	6.0	18.0	0.0
0.58974	2.0	14.0	0.0
0.61538	7.0	10.0	0.0
0.64103	5.0	5.0	0.0
0.66667	20.0	18.0	2.0
0.69231	9.0	14.0	3.0
0.71795	5.0	8.0	0.0
0.74359	11.0	7.0	0.0
0.76923	7.0	15.0	1.0
0.79487	7.0	5.0	0.0
0.82051	13.0	10.0	2.0
0.84615	9.0	3.0	0.0
0.87179	6.0	13.0	0.0
0.89744	1.0	3.0	0.0
0.92308	6.0	11.0	0.0
0.94872	6.0	3.0	0.0
0.97436	1.0	5.0	0.0
1.0	7.0	7.0	0.0
