f	pi	p0	pw
0.02564	686.0	426.0	12.0
0.05128	209.0	127.0	6.0
0.07692	117.0	101.0	2.0
0.10256	85.0	71.0	7.0
0.12821	58.0	74.0	1.0
0.15385	51.0	57.0	0.0
0.17949	36.0	43.0	0.0
0.20513	31.0	27.0	1.0
0.23077	14.0	26.0	0.0
0.25641	30.0	29.0	0.0
0.28205	21.0	37.0	3.0
0.30769	21.0	28.0	0.0
0.33333	22.0	34.0	0.0
0.35897	12.0	20.0	0.0
0.38462	27.0	28.0	0.0
0.41026	14.0	26.0	0.0
0.4359	4.0	17.0	0.0
0.46154	8.0	28.0	0.0
0.48718	3.0	11.0	0.0
0.51282	12.0	16.0	0.0
0.53846	9.0	14.0	0.0
0.5641	6.0	16.0	0.0
0.58974	1.0	17.0	0.0
0.61538	7.0	8.0	0.0
0.64103	9.0	19.0	0.0
0.66667	7.0	11.0	1.0
0.69231	7.0	15.0	3.0
0.71795	3.0	15.0	0.0
0.74359	4.0	4.0	0.0
0.76923	10.0	10.0	2.0
0.79487	13.0	3.0	0.0
0.82051	6.0	12.0	0.0
0.84615	4.0	5.0	0.0
0.87179	4.0	12.0	0.0
0.89744	9.0	10.0	0.0
0.92308	7.0	12.0	0.0
0.94872	6.0	7.0	0.0
0.97436	3.0	1.0	0.0
1.0	5.0	5.0	0.0
