f	pi	p0	pw
0.02564	712.0	393.0	13.0
0.05128	219.0	160.0	7.0
0.07692	142.0	111.0	4.0
0.10256	76.0	93.0	7.0
0.12821	59.0	64.0	4.0
0.15385	52.0	43.0	0.0
0.17949	22.0	34.0	0.0
0.20513	37.0	35.0	3.0
0.23077	14.0	24.0	0.0
0.25641	27.0	28.0	0.0
0.28205	21.0	25.0	2.0
0.30769	25.0	32.0	0.0
0.33333	22.0	20.0	2.0
0.35897	10.0	17.0	0.0
0.38462	41.0	37.0	0.0
0.41026	11.0	22.0	1.0
0.4359	16.0	20.0	0.0
0.46154	9.0	22.0	0.0
0.48718	4.0	14.0	0.0
0.51282	16.0	19.0	0.0
0.53846	6.0	17.0	0.0
0.5641	0.0	16.0	0.0
0.58974	3.0	20.0	0.0
0.61538	8.0	6.0	0.0
0.64103	4.0	22.0	1.0
0.66667	12.0	17.0	0.0
0.69231	7.0	16.0	2.0
0.71795	8.0	9.0	0.0
0.74359	3.0	5.0	0.0
0.76923	10.0	16.0	1.0
0.79487	5.0	0.0	0.0
0.82051	13.0	12.0	1.0
0.84615	5.0	6.0	0.0
0.87179	7.0	10.0	0.0
0.89744	1.0	9.0	0.0
0.92308	5.0	10.0	0.0
0.94872	8.0	11.0	0.0
0.97436	1.0	6.0	0.0
1.0	8.0	16.0	0.0
