f	pi	p0	pw
0.02564	673.0	414.0	9.0
0.05128	219.0	139.0	3.0
0.07692	120.0	78.0	3.0
0.10256	96.0	93.0	7.0
0.12821	78.0	73.0	5.0
0.15385	45.0	62.0	0.0
0.17949	27.0	35.0	0.0
0.20513	40.0	34.0	0.0
0.23077	20.0	32.0	0.0
0.25641	31.0	33.0	0.0
0.28205	22.0	44.0	1.0
0.30769	27.0	33.0	0.0
0.33333	23.0	20.0	2.0
0.35897	10.0	16.0	0.0
0.38462	24.0	19.0	0.0
0.41026	8.0	25.0	0.0
0.4359	11.0	17.0	0.0
0.46154	10.0	27.0	0.0
0.48718	11.0	17.0	0.0
0.51282	12.0	16.0	0.0
0.53846	11.0	15.0	0.0
0.5641	6.0	17.0	0.0
0.58974	3.0	16.0	0.0
0.61538	11.0	9.0	0.0
0.64103	15.0	21.0	0.0
0.66667	10.0	14.0	5.0
0.69231	7.0	8.0	1.0
0.71795	7.0	8.0	0.0
0.74359	11.0	6.0	0.0
0.76923	6.0	17.0	0.0
0.79487	7.0	5.0	0.0
0.82051	14.0	10.0	1.0
0.84615	9.0	2.0	0.0
0.87179	10.0	8.0	0.0
0.89744	5.0	7.0	0.0
0.92308	5.0	9.0	0.0
0.94872	5.0	12.0	0.0
0.97436	1.0	0.0	0.0
1.0	7.0	9.0	0.0
