f	pi	p0	pw
0.02564	713.0	406.0	7.0
0.05128	226.0	142.0	7.0
0.07692	117.0	82.0	1.0
0.10256	85.0	80.0	2.0
0.12821	77.0	64.0	7.0
0.15385	43.0	59.0	0.0
0.17949	31.0	39.0	0.0
0.20513	28.0	36.0	2.0
0.23077	17.0	18.0	0.0
0.25641	20.0	41.0	0.0
0.28205	26.0	31.0	0.0
0.30769	14.0	23.0	0.0
0.33333	17.0	30.0	1.0
0.35897	13.0	17.0	1.0
0.38462	21.0	22.0	2.0
0.41026	9.0	20.0	0.0
0.4359	9.0	27.0	0.0
0.46154	7.0	32.0	0.0
0.48718	5.0	12.0	0.0
0.51282	11.0	15.0	0.0
0.53846	9.0	15.0	0.0
0.5641	8.0	15.0	0.0
0.58974	3.0	19.0	0.0
0.61538	13.0	6.0	0.0
0.64103	8.0	14.0	1.0
0.66667	8.0	21.0	2.0
0.69231	15.0	16.0	4.0
0.71795	7.0	12.0	0.0
0.74359	8.0	8.0	0.0
0.76923	1.0	22.0	0.0
0.79487	6.0	3.0	0.0
0.82051	13.0	18.0	0.0
0.84615	12.0	2.0	0.0
0.87179	7.0	7.0	0.0
0.89744	5.0	6.0	0.0
0.92308	3.0	14.0	0.0
0.94872	6.0	11.0	0.0
0.97436	1.0	1.0	0.0
1.0	7.0	12.0	0.0
