f	pi	p0	pw
0.02564	718.0	441.0	20.0
0.05128	212.0	138.0	3.0
0.07692	121.0	111.0	5.0
0.10256	73.0	58.0	9.0
0.12821	69.0	78.0	1.0
0.15385	32.0	39.0	0.0
0.17949	26.0	35.0	0.0
0.20513	26.0	28.0	0.0
0.23077	26.0	23.0	0.0
0.25641	26.0	21.0	0.0
0.28205	21.0	32.0	0.0
0.30769	8.0	25.0	0.0
0.33333	20.0	28.0	1.0
0.35897	10.0	21.0	0.0
0.38462	29.0	22.0	2.0
0.41026	8.0	17.0	0.0
0.4359	12.0	21.0	0.0
0.46154	10.0	33.0	0.0
0.48718	8.0	25.0	0.0
0.51282	15.0	19.0	0.0
0.53846	6.0	23.0	0.0
0.5641	5.0	15.0	0.0
0.58974	2.0	16.0	0.0
0.61538	8.0	11.0	0.0
0.64103	7.0	10.0	1.0
0.66667	11.0	18.0	1.0
0.69231	3.0	16.0	0.0
0.71795	6.0	15.0	0.0
0.74359	12.0	9.0	0.0
0.76923	6.0	8.0	0.0
0.79487	10.0	7.0	0.0
0.82051	13.0	10.0	1.0
0.84615	5.0	1.0	0.0
0.87179	7.0	7.0	0.0
0.89744	4.0	8.0	0.0
0.92308	5.0	13.0	0.0
0.94872	3.0	6.0	0.0
0.97436	3.0	0.0	0.0
1.0	9.0	9.0	0.0
