f	pi	p0	pw
0.02564	674.0	413.0	18.0
0.05128	175.0	121.0	6.0
0.07692	101.0	90.0	2.0
0.10256	98.0	82.0	9.0
0.12821	48.0	75.0	3.0
0.15385	42.0	46.0	0.0
0.17949	42.0	41.0	0.0
0.20513	41.0	31.0	2.0
0.23077	21.0	23.0	0.0
0.25641	15.0	37.0	0.0
0.28205	32.0	29.0	1.0
0.30769	14.0	31.0	0.0
0.33333	19.0	15.0	0.0
0.35897	9.0	29.0	4.0
0.38462	30.0	15.0	1.0
0.41026	11.0	19.0	0.0
0.4359	14.0	20.0	0.0
0.46154	14.0	30.0	0.0
0.48718	8.0	13.0	0.0
0.51282	13.0	16.0	0.0
0.53846	11.0	9.0	0.0
0.5641	4.0	12.0	0.0
0.58974	2.0	16.0	0.0
0.61538	9.0	9.0	0.0
0.64103	5.0	12.0	2.0
0.66667	13.0	28.0	0.0
0.69231	8.0	7.0	0.0
0.71795	8.0	13.0	0.0
0.74359	9.0	6.0	0.0
0.76923	5.0	15.0	0.0
0.79487	5.0	4.0	0.0
0.82051	13.0	9.0	1.0
0.84615	8.0	4.0	0.0
0.87179	3.0	9.0	0.0
0.89744	5.0	9.0	0.0
0.92308	4.0	15.0	0.0
0.94872	6.0	9.0	0.0
0.97436	2.0	3.0	0.0
1.0	7.0	16.0	0.0
