f	pi	p0	pw
0.02564	660.0	424.0	6.0
0.05128	224.0	156.0	7.0
0.07692	121.0	118.0	3.0
0.10256	80.0	106.0	2.0
0.12821	55.0	77.0	4.0
0.15385	33.0	54.0	0.0
0.17949	40.0	28.0	0.0
0.20513	43.0	29.0	0.0
0.23077	20.0	19.0	0.0
0.25641	16.0	40.0	0.0
0.28205	24.0	33.0	1.0
0.30769	18.0	27.0	0.0
0.33333	18.0	20.0	1.0
0.35897	12.0	21.0	1.0
0.38462	25.0	20.0	3.0
0.41026	16.0	20.0	4.0
0.4359	15.0	22.0	0.0
0.46154	5.0	36.0	0.0
0.48718	3.0	13.0	0.0
0.51282	8.0	13.0	0.0
0.53846	9.0	17.0	0.0
0.5641	5.0	28.0	0.0
0.58974	1.0	20.0	0.0
0.61538	8.0	8.0	0.0
0.64103	3.0	14.0	2.0
0.66667	9.0	18.0	0.0
0.69231	9.0	13.0	2.0
0.71795	6.0	8.0	0.0
0.74359	14.0	11.0	0.0
0.76923	8.0	8.0	2.0
0.79487	6.0	7.0	0.0
0.82051	12.0	13.0	0.0
0.84615	12.0	4.0	0.0
0.87179	5.0	14.0	0.0
0.89744	5.0	7.0	0.0
0.92308	7.0	11.0	0.0
0.94872	5.0	9.0	0.0
0.97436	3.0	1.0	0.0
1.0	5.0	3.0	0.0
