f	pi	p0	pw
0.02564	654.0	362.0	11.0
0.05128	241.0	164.0	2.0
0.07692	124.0	93.0	2.0
0.10256	83.0	69.0	6.0
0.12821	66.0	66.0	2.0
0.15385	48.0	68.0	0.0
0.17949	28.0	50.0	0.0
0.20513	34.0	33.0	1.0
0.23077	17.0	33.0	0.0
0.25641	22.0	30.0	0.0
0.28205	23.0	27.0	0.0
0.30769	16.0	35.0	0.0
0.33333	20.0	26.0	2.0
0.35897	11.0	18.0	2.0
0.38462	28.0	25.0	1.0
0.41026	12.0	32.0	1.0
0.4359	13.0	21.0	0.0
0.46154	17.0	44.0	0.0
0.48718	1.0	15.0	0.0
0.51282	10.0	19.0	0.0
0.53846	12.0	15.0	0.0
0.5641	1.0	18.0	0.0
0.58974	3.0	11.0	0.0
0.61538	6.0	9.0	0.0
0.64103	9.0	14.0	1.0
0.66667	2.0	14.0	1.0
0.69231	7.0	13.0	0.0
0.71795	4.0	8.0	0.0
0.74359	3.0	3.0	0.0
0.76923	10.0	14.0	2.0
0.79487	9.0	2.0	0.0
0.82051	13.0	7.0	0.0
0.84615	14.0	1.0	0.0
0.87179	5.0	13.0	0.0
0.89744	4.0	9.0	0.0
0.92308	5.0	8.0	0.0
0.94872	6.0	9.0	0.0
0.97436	1.0	2.0	0.0
1.0	10.0	9.0	0.0
