f	pi	p0	pw
0.02564	701.0	399.0	7.0
0.05128	206.0	136.0	3.0
0.07692	106.0	112.0	2.0
0.10256	83.0	85.0	7.0
0.12821	62.0	83.0	1.0
0.15385	39.0	54.0	0.0
0.17949	31.0	29.0	0.0
0.20513	38.0	27.0	1.0
0.23077	22.0	31.0	0.0
0.25641	30.0	37.0	0.0
0.28205	17.0	33.0	1.0
0.30769	15.0	41.0	0.0
0.33333	16.0	20.0	2.0
0.35897	13.0	28.0	1.0
0.38462	18.0	22.0	1.0
0.41026	6.0	14.0	0.0
0.4359	7.0	14.0	0.0
0.46154	7.0	21.0	0.0
0.48718	4.0	18.0	0.0
0.51282	12.0	25.0	0.0
0.53846	6.0	20.0	0.0
0.5641	7.0	12.0	0.0
0.58974	1.0	20.0	0.0
0.61538	13.0	12.0	0.0
0.64103	6.0	18.0	3.0
0.66667	9.0	20.0	0.0
0.69231	6.0	10.0	1.0
0.71795	12.0	17.0	0.0
0.74359	4.0	1.0	0.0
0.76923	8.0	10.0	1.0
0.79487	12.0	6.0	0.0
0.82051	7.0	6.0	0.0
0.84615	10.0	1.0	0.0
0.87179	2.0	15.0	0.0
0.89744	1.0	8.0	0.0
0.92308	5.0	16.0	0.0
0.94872	1.0	9.0	0.0
0.97436	2.0	4.0	0.0
1.0	5.0	8.0	0.0
