f	pi	p0	pw
0.02564	699.0	427.0	11.0
0.05128	205.0	131.0	8.0
0.07692	122.0	109.0	4.0
0.10256	92.0	86.0	7.0
0.12821	72.0	81.0	7.0
0.15385	40.0	65.0	0.0
0.17949	45.0	34.0	0.0
0.20513	40.0	40.0	1.0
0.23077	18.0	26.0	0.0
0.25641	28.0	33.0	0.0
0.28205	12.0	30.0	1.0
0.30769	18.0	44.0	0.0
0.33333	20.0	21.0	0.0
0.35897	6.0	15.0	0.0
0.38462	21.0	14.0	1.0
0.41026	8.0	14.0	0.0
0.4359	12.0	21.0	0.0
0.46154	10.0	36.0	0.0
0.48718	5.0	20.0	0.0
0.51282	13.0	13.0	0.0
0.53846	7.0	14.0	0.0
0.5641	3.0	12.0	0.0
0.58974	4.0	13.0	0.0
0.61538	4.0	7.0	0.0
0.64103	8.0	24.0	1.0
0.66667	6.0	17.0	1.0
0.69231	2.0	8.0	0.0
0.71795	4.0	6.0	0.0
0.74359	9.0	10.0	0.0
0.76923	9.0	12.0	2.0
0.79487	10.0	4.0	0.0
0.82051	14.0	10.0	2.0
0.84615	7.0	2.0	0.0
0.87179	6.0	9.0	0.0
0.89744	1.0	7.0	0.0
0.92308	6.0	11.0	0.0
0.94872	2.0	7.0	0.0
0.97436	2.0	1.0	0.0
1.0	4.0	13.0	0.0
