f	pi	p0	pw
0.02564	661.0	373.0	6.0
0.05128	229.0	148.0	4.0
0.07692	127.0	109.0	2.0
0.10256	94.0	89.0	3.0
0.12821	50.0	72.0	3.0
0.15385	34.0	63.0	0.0
0.17949	39.0	47.0	0.0
0.20513	43.0	38.0	2.0
0.23077	20.0	28.0	0.0
0.25641	25.0	27.0	0.0
0.28205	23.0	33.0	2.0
0.30769	17.0	35.0	0.0
0.33333	27.0	21.0	4.0
0.35897	16.0	22.0	3.0
0.38462	26.0	26.0	0.0
0.41026	4.0	14.0	0.0
0.4359	13.0	19.0	0.0
0.46154	17.0	25.0	0.0
0.48718	3.0	13.0	0.0
0.51282	15.0	20.0	0.0
0.53846	7.0	10.0	0.0
0.5641	4.0	20.0	0.0
0.58974	2.0	17.0	0.0
0.61538	6.0	15.0	0.0
0.64103	5.0	18.0	3.0
0.66667	12.0	15.0	3.0
0.69231	11.0	12.0	3.0
0.71795	6.0	12.0	0.0
0.74359	7.0	13.0	0.0
0.76923	9.0	12.0	0.0
0.79487	6.0	3.0	0.0
0.82051	7.0	13.0	2.0
0.84615	4.0	5.0	0.0
0.87179	9.0	11.0	0.0
0.89744	6.0	4.0	0.0
0.92308	3.0	10.0	0.0
0.94872	5.0	7.0	0.0
0.97436	1.0	1.0	0.0
1.0	4.0	8.0	0.0
