f	pi	p0	pw
0.02564	663.0	439.0	18.0
0.05128	210.0	134.0	4.0
0.07692	144.0	96.0	4.0
0.10256	97.0	90.0	2.0
0.12821	67.0	74.0	4.0
0.15385	35.0	56.0	0.0
0.17949	35.0	29.0	0.0
0.20513	40.0	37.0	0.0
0.23077	21.0	16.0	0.0
0.25641	19.0	26.0	0.0
0.28205	17.0	34.0	0.0
0.30769	11.0	34.0	0.0
0.33333	29.0	19.0	1.0
0.35897	7.0	20.0	1.0
0.38462	34.0	19.0	1.0
0.41026	13.0	21.0	0.0
0.4359	14.0	25.0	0.0
0.46154	9.0	21.0	0.0
0.48718	4.0	17.0	0.0
0.51282	12.0	21.0	0.0
0.53846	5.0	21.0	0.0
0.5641	1.0	12.0	0.0
0.58974	7.0	15.0	0.0
0.61538	7.0	11.0	0.0
0.64103	5.0	20.0	0.0
0.66667	10.0	16.0	2.0
0.69231	15.0	18.0	2.0
0.71795	5.0	10.0	0.0
0.74359	9.0	6.0	0.0
0.76923	6.0	16.0	0.0
0.79487	3.0	0.0	0.0
0.82051	4.0	13.0	0.0
0.84615	4.0	6.0	0.0
0.87179	11.0	8.0	0.0
0.89744	6.0	6.0	0.0
0.92308	8.0	14.0	0.0
0.94872	2.0	7.0	0.0
0.97436	3.0	1.0	0.0
1.0	9.0	5.0	0.0
