f	pi	p0	pw
0.02564	680.0	397.0	12.0
0.05128	208.0	161.0	2.0
0.07692	128.0	94.0	3.0
0.10256	86.0	115.0	3.0
0.12821	82.0	59.0	7.0
0.15385	54.0	47.0	0.0
0.17949	34.0	35.0	0.0
0.20513	33.0	33.0	0.0
0.23077	18.0	34.0	0.0
0.25641	32.0	26.0	0.0
0.28205	32.0	31.0	1.0
0.30769	21.0	44.0	0.0
0.33333	18.0	21.0	0.0
0.35897	14.0	26.0	2.0
0.38462	34.0	24.0	0.0
0.41026	11.0	30.0	1.0
0.4359	21.0	17.0	0.0
0.46154	6.0	19.0	0.0
0.48718	4.0	8.0	0.0
0.51282	15.0	26.0	0.0
0.53846	11.0	12.0	0.0
0.5641	6.0	14.0	0.0
0.58974	2.0	19.0	0.0
0.61538	3.0	7.0	0.0
0.64103	6.0	15.0	0.0
0.66667	7.0	20.0	0.0
0.69231	9.0	17.0	2.0
0.71795	3.0	15.0	0.0
0.74359	5.0	6.0	0.0
0.76923	6.0	9.0	1.0
0.79487	7.0	5.0	0.0
0.82051	6.0	6.0	1.0
0.84615	4.0	7.0	0.0
0.87179	5.0	1.0	0.0
0.89744	4.0	9.0	0.0
0.92308	4.0	8.0	0.0
0.94872	5.0	6.0	0.0
0.97436	4.0	1.0	0.0
1.0	7.0	5.0	0.0
