f	pi	p0	pw
0.02564	647.0	400.0	16.0
0.05128	227.0	134.0	4.0
0.07692	116.0	94.0	3.0
0.10256	83.0	83.0	2.0
0.12821	71.0	93.0	5.0
0.15385	36.0	40.0	0.0
0.17949	22.0	31.0	0.0
0.20513	30.0	25.0	2.0
0.23077	15.0	27.0	0.0
0.25641	25.0	44.0	0.0
0.28205	20.0	46.0	2.0
0.30769	12.0	20.0	0.0
0.33333	23.0	28.0	2.0
0.35897	13.0	20.0	2.0
0.38462	26.0	30.0	0.0
0.41026	12.0	30.0	1.0
0.4359	11.0	17.0	0.0
0.46154	9.0	26.0	0.0
0.48718	5.0	8.0	0.0
0.51282	7.0	20.0	0.0
0.53846	11.0	15.0	0.0
0.5641	5.0	7.0	0.0
0.58974	2.0	13.0	0.0
0.61538	10.0	7.0	0.0
0.64103	6.0	17.0	0.0
0.66667	9.0	16.0	0.0
0.69231	10.0	17.0	2.0
0.71795	4.0	9.0	0.0
0.74359	7.0	12.0	0.0
0.76923	9.0	20.0	0.0
0.79487	6.0	8.0	0.0
0.82051	5.0	8.0	0.0
0.84615	8.0	3.0	0.0
0.87179	8.0	9.0	0.0
0.89744	4.0	4.0	0.0
0.92308	6.0	9.0	0.0
0.94872	3.0	14.0	0.0
0.97436	0.0	1.0	0.0
1.0	3.0	10.0	0.0
