f	pi	p0	pw
0.02564	720.0	410.0	17.0
0.05128	188.0	136.0	3.0
0.07692	139.0	86.0	4.0
0.10256	80.0	82.0	1.0
0.12821	79.0	74.0	3.0
0.15385	45.0	54.0	0.0
0.17949	34.0	30.0	0.0
0.20513	34.0	34.0	0.0
0.23077	18.0	35.0	0.0
0.25641	25.0	29.0	0.0
0.28205	18.0	28.0	0.0
0.30769	19.0	20.0	0.0
0.33333	18.0	25.0	2.0
0.35897	17.0	23.0	1.0
0.38462	22.0	23.0	0.0
0.41026	10.0	18.0	1.0
0.4359	8.0	21.0	0.0
0.46154	12.0	29.0	0.0
0.48718	5.0	17.0	0.0
0.51282	11.0	23.0	0.0
0.53846	11.0	4.0	0.0
0.5641	2.0	13.0	0.0
0.58974	4.0	21.0	0.0
0.61538	9.0	10.0	0.0
0.64103	5.0	18.0	0.0
0.66667	10.0	15.0	1.0
0.69231	9.0	17.0	1.0
0.71795	5.0	11.0	0.0
0.74359	6.0	7.0	0.0
0.76923	13.0	12.0	2.0
0.79487	5.0	5.0	0.0
0.82051	7.0	8.0	3.0
0.84615	3.0	6.0	0.0
0.87179	12.0	7.0	0.0
0.89744	3.0	7.0	0.0
0.92308	7.0	16.0	0.0
0.94872	4.0	7.0	0.0
0.97436	2.0	3.0	0.0
1.0	6.0	12.0	0.0
