f	pi	p0	pw
0.02564	661.0	377.0	12.0
0.05128	237.0	137.0	5.0
0.07692	121.0	107.0	0.0
0.10256	88.0	72.0	3.0
0.12821	64.0	71.0	3.0
0.15385	44.0	48.0	0.0
0.17949	41.0	30.0	0.0
0.20513	43.0	25.0	1.0
0.23077	10.0	23.0	0.0
0.25641	29.0	31.0	0.0
0.28205	19.0	36.0	0.0
0.30769	11.0	37.0	0.0
0.33333	16.0	31.0	0.0
0.35897	9.0	20.0	1.0
0.38462	23.0	20.0	0.0
0.41026	6.0	20.0	0.0
0.4359	10.0	18.0	0.0
0.46154	16.0	25.0	0.0
0.48718	5.0	14.0	0.0
0.51282	12.0	9.0	0.0
0.53846	5.0	15.0	0.0
0.5641	11.0	18.0	0.0
0.58974	2.0	17.0	0.0
0.61538	2.0	3.0	0.0
0.64103	4.0	22.0	0.0
0.66667	13.0	15.0	3.0
0.69231	6.0	13.0	0.0
0.71795	4.0	13.0	0.0
0.74359	14.0	3.0	0.0
0.76923	5.0	18.0	1.0
0.79487	7.0	1.0	0.0
0.82051	14.0	11.0	3.0
0.84615	14.0	2.0	0.0
0.87179	10.0	14.0	0.0
0.89744	7.0	2.0	0.0
0.92308	6.0	11.0	0.0
0.94872	5.0	19.0	0.0
0.97436	1.0	4.0	0.0
1.0	7.0	12.0	0.0
