f	pi	p0	pw
0.02564	695.0	402.0	12.0
0.05128	230.0	140.0	3.0
0.07692	114.0	118.0	6.0
0.10256	103.0	89.0	4.0
0.12821	80.0	87.0	5.0
0.15385	35.0	56.0	0.0
0.17949	36.0	37.0	0.0
0.20513	30.0	30.0	1.0
0.23077	23.0	25.0	0.0
0.25641	21.0	33.0	0.0
0.28205	23.0	33.0	1.0
0.30769	16.0	32.0	0.0
0.33333	17.0	17.0	0.0
0.35897	8.0	30.0	1.0
0.38462	21.0	24.0	0.0
0.41026	14.0	26.0	0.0
0.4359	5.0	12.0	0.0
0.46154	6.0	27.0	0.0
0.48718	8.0	11.0	0.0
0.51282	13.0	14.0	0.0
0.53846	7.0	18.0	0.0
0.5641	5.0	14.0	0.0
0.58974	5.0	18.0	0.0
0.61538	4.0	13.0	0.0
0.64103	5.0	13.0	0.0
0.66667	6.0	22.0	1.0
0.69231	12.0	11.0	0.0
0.71795	8.0	11.0	0.0
0.74359	12.0	4.0	0.0
0.76923	7.0	13.0	3.0
0.79487	6.0	9.0	0.0
0.82051	13.0	6.0	1.0
0.84615	4.0	3.0	0.0
0.87179	7.0	14.0	0.0
0.89744	2.0	4.0	0.0
0.92308	6.0	9.0	0.0
0.94872	2.0	11.0	0.0
0.97436	2.0	0.0	0.0
1.0	6.0	11.0	0.0
