f	pi	p0	pw
0.02564	667.0	417.0	16.0
0.05128	201.0	148.0	2.0
0.07692	130.0	84.0	2.0
0.10256	82.0	79.0	3.0
0.12821	78.0	48.0	5.0
0.15385	33.0	52.0	0.0
0.17949	33.0	32.0	0.0
0.20513	23.0	34.0	1.0
0.23077	17.0	35.0	0.0
0.25641	33.0	34.0	0.0
0.28205	24.0	39.0	1.0
0.30769	20.0	30.0	0.0
0.33333	32.0	19.0	1.0
0.35897	15.0	20.0	1.0
0.38462	22.0	28.0	0.0
0.41026	16.0	23.0	2.0
0.4359	11.0	24.0	0.0
0.46154	11.0	31.0	0.0
0.48718	4.0	18.0	0.0
0.51282	10.0	16.0	0.0
0.53846	11.0	14.0	0.0
0.5641	8.0	27.0	0.0
0.58974	5.0	20.0	0.0
0.61538	14.0	10.0	0.0
0.64103	7.0	17.0	3.0
0.66667	12.0	11.0	3.0
0.69231	9.0	9.0	1.0
0.71795	2.0	12.0	0.0
0.74359	7.0	6.0	0.0
0.76923	3.0	14.0	0.0
0.79487	3.0	7.0	0.0
0.82051	10.0	14.0	0.0
0.84615	6.0	0.0	0.0
0.87179	5.0	8.0	0.0
0.89744	0.0	4.0	0.0
0.92308	11.0	9.0	0.0
0.94872	7.0	11.0	0.0
0.97436	2.0	1.0	0.0
1.0	4.0	7.0	0.0
