f	pi	p0	pw
0.02564	689.0	418.0	11.0
0.05128	219.0	153.0	3.0
0.07692	100.0	105.0	1.0
0.10256	77.0	85.0	2.0
0.12821	56.0	76.0	6.0
0.15385	38.0	59.0	0.0
0.17949	39.0	37.0	0.0
0.20513	44.0	34.0	0.0
0.23077	11.0	25.0	0.0
0.25641	31.0	31.0	0.0
0.28205	26.0	33.0	3.0
0.30769	13.0	34.0	0.0
0.33333	28.0	31.0	2.0
0.35897	7.0	21.0	1.0
0.38462	23.0	21.0	1.0
0.41026	17.0	24.0	0.0
0.4359	11.0	18.0	0.0
0.46154	8.0	18.0	0.0
0.48718	8.0	20.0	0.0
0.51282	11.0	20.0	0.0
0.53846	8.0	19.0	0.0
0.5641	8.0	22.0	0.0
0.58974	3.0	17.0	0.0
0.61538	8.0	7.0	0.0
0.64103	11.0	15.0	2.0
0.66667	6.0	21.0	0.0
0.69231	14.0	16.0	1.0
0.71795	5.0	10.0	0.0
0.74359	6.0	11.0	0.0
0.76923	7.0	12.0	2.0
0.79487	7.0	4.0	0.0
0.82051	14.0	13.0	0.0
0.84615	6.0	5.0	0.0
0.87179	7.0	8.0	0.0
0.89744	1.0	10.0	0.0
0.92308	3.0	8.0	0.0
0.94872	6.0	14.0	0.0
0.97436	0.0	1.0	0.0
1.0	4.0	10.0	0.0
