f	pi	p0	pw
0.02564	673.0	459.0	15.0
0.05128	225.0	131.0	4.0
0.07692	111.0	102.0	3.0
0.10256	87.0	84.0	5.0
0.12821	70.0	78.0	6.0
0.15385	42.0	62.0	0.0
0.17949	34.0	35.0	0.0
0.20513	29.0	28.0	1.0
0.23077	21.0	31.0	0.0
0.25641	39.0	32.0	0.0
0.28205	24.0	26.0	2.0
0.30769	13.0	25.0	0.0
0.33333	20.0	19.0	1.0
0.35897	12.0	25.0	2.0
0.38462	13.0	19.0	0.0
0.41026	15.0	26.0	1.0
0.4359	11.0	21.0	0.0
0.46154	11.0	30.0	0.0
0.48718	4.0	11.0	0.0
0.51282	12.0	12.0	0.0
0.53846	3.0	12.0	0.0
0.5641	7.0	14.0	0.0
0.58974	2.0	15.0	0.0
0.61538	3.0	8.0	0.0
0.64103	5.0	15.0	1.0
0.66667	13.0	20.0	2.0
0.69231	5.0	7.0	0.0
0.71795	7.0	13.0	0.0
0.74359	5.0	5.0	0.0
0.76923	10.0	9.0	3.0
0.79487	6.0	7.0	0.0
0.82051	13.0	10.0	1.0
0.84615	7.0	3.0	0.0
0.87179	6.0	10.0	0.0
0.89744	2.0	8.0	0.0
0.92308	3.0	5.0	0.0
0.94872	2.0	6.0	0.0
0.97436	1.0	3.0	0.0
1.0	6.0	5.0	0.0
