f	pi	p0	pw
0.02564	708.0	411.0	10.0
0.05128	242.0	159.0	7.0
0.07692	132.0	86.0	1.0
0.10256	92.0	73.0	9.0
0.12821	59.0	71.0	2.0
0.15385	36.0	56.0	0.0
0.17949	28.0	45.0	0.0
0.20513	47.0	37.0	1.0
0.23077	15.0	33.0	0.0
0.25641	24.0	18.0	0.0
0.28205	35.0	35.0	2.0
0.30769	22.0	29.0	0.0
0.33333	17.0	22.0	1.0
0.35897	10.0	24.0	1.0
0.38462	35.0	23.0	0.0
0.41026	4.0	20.0	0.0
0.4359	15.0	15.0	0.0
0.46154	13.0	40.0	0.0
0.48718	4.0	20.0	0.0
0.51282	11.0	23.0	0.0
0.53846	11.0	7.0	0.0
0.5641	10.0	15.0	0.0
0.58974	0.0	15.0	0.0
0.61538	6.0	5.0	0.0
0.64103	10.0	19.0	3.0
0.66667	11.0	13.0	2.0
0.69231	9.0	14.0	0.0
0.71795	6.0	7.0	0.0
0.74359	8.0	4.0	0.0
0.76923	8.0	10.0	1.0
0.79487	11.0	8.0	0.0
0.82051	8.0	7.0	0.0
0.84615	5.0	6.0	0.0
0.87179	10.0	13.0	0.0
0.89744	5.0	3.0	0.0
0.92308	6.0	9.0	0.0
0.94872	4.0	4.0	0.0
0.97436	1.0	1.0	0.0
1.0	10.0	11.0	0.0
