meanSdAlphaStandard	meanSdAlphaFww1	meanSdAlphaFww2	meanSdAlphaEmkt1	meanSdAlphaEmkt2	meanSdAlphaAsymptotic1	quantiles
-0.2 (±0.041)	0.258 (±0.029)	0.315 (±0.028)	0.258 (±0.029)	0.315 (±0.028)	0.388 (±0.03)	[0,0.653]
0.203 (±0.023)	0.516 (±0.016)	0.551 (±0.015)	0.516 (±0.016)	0.551 (±0.015)	0.583 (±0.014)	(0.653,1.52]
0.313 (±0.023)	0.571 (±0.016)	0.597 (±0.015)	0.571 (±0.016)	0.597 (±0.015)	0.614 (±0.014)	(1.52,2.39]
0.324 (±0.022)	0.577 (±0.015)	0.603 (±0.015)	0.577 (±0.015)	0.603 (±0.015)	0.626 (±0.014)	(2.39,3.58]
0.393 (±0.021)	0.623 (±0.014)	0.645 (±0.013)	0.623 (±0.014)	0.645 (±0.013)	0.659 (±0.013)	(3.58,14.8]
