f	pi	p0
0.02564	4370.0	5179.0
0.05128	1564.0	2585.0
0.07692	972.0	1743.0
0.10256	587.0	1393.0
0.12821	445.0	1172.0
0.15385	366.0	865.0
0.17949	304.0	743.0
0.20513	247.0	662.0
0.23077	171.0	613.0
0.25641	157.0	481.0
0.28205	157.0	504.0
0.30769	156.0	409.0
0.33333	121.0	367.0
0.35897	116.0	360.0
0.38462	118.0	350.0
0.41026	101.0	342.0
0.4359	95.0	313.0
0.46154	82.0	272.0
0.48718	72.0	261.0
0.51282	87.0	278.0
0.53846	94.0	256.0
0.5641	51.0	212.0
0.58974	78.0	228.0
0.61538	55.0	208.0
0.64103	47.0	224.0
0.66667	51.0	210.0
0.69231	52.0	175.0
0.71795	72.0	174.0
0.74359	52.0	171.0
0.76923	38.0	155.0
0.79487	41.0	191.0
0.82051	38.0	147.0
0.84615	37.0	140.0
0.87179	36.0	119.0
0.89744	48.0	130.0
0.92308	35.0	95.0
0.94872	46.0	133.0
0.97436	37.0	118.0
1.0	44.0	113.0
