f	pi	p0
0.02564	4358.0	5121.0
0.05128	1529.0	2526.0
0.07692	916.0	1665.0
0.10256	602.0	1406.0
0.12821	425.0	1086.0
0.15385	359.0	859.0
0.17949	278.0	723.0
0.20513	245.0	625.0
0.23077	195.0	582.0
0.25641	156.0	527.0
0.28205	150.0	476.0
0.30769	133.0	374.0
0.33333	118.0	366.0
0.35897	117.0	359.0
0.38462	107.0	336.0
0.41026	102.0	370.0
0.4359	91.0	308.0
0.46154	87.0	266.0
0.48718	83.0	264.0
0.51282	64.0	248.0
0.53846	81.0	262.0
0.5641	69.0	231.0
0.58974	77.0	223.0
0.61538	60.0	200.0
0.64103	53.0	197.0
0.66667	53.0	184.0
0.69231	55.0	186.0
0.71795	54.0	181.0
0.74359	45.0	182.0
0.76923	49.0	158.0
0.79487	37.0	167.0
0.82051	30.0	162.0
0.84615	36.0	131.0
0.87179	25.0	135.0
0.89744	55.0	128.0
0.92308	25.0	131.0
0.94872	21.0	129.0
0.97436	35.0	99.0
1.0	34.0	136.0
