f	pi	p0
0.02564	4308.0	5114.0
0.05128	1630.0	2657.0
0.07692	918.0	1729.0
0.10256	619.0	1338.0
0.12821	456.0	1117.0
0.15385	404.0	875.0
0.17949	300.0	660.0
0.20513	217.0	619.0
0.23077	196.0	591.0
0.25641	151.0	502.0
0.28205	170.0	426.0
0.30769	123.0	404.0
0.33333	141.0	354.0
0.35897	146.0	337.0
0.38462	99.0	354.0
0.41026	101.0	388.0
0.4359	85.0	291.0
0.46154	75.0	275.0
0.48718	63.0	234.0
0.51282	91.0	221.0
0.53846	84.0	240.0
0.5641	66.0	224.0
0.58974	71.0	218.0
0.61538	56.0	214.0
0.64103	62.0	221.0
0.66667	66.0	210.0
0.69231	48.0	206.0
0.71795	47.0	188.0
0.74359	51.0	188.0
0.76923	43.0	179.0
0.79487	26.0	159.0
0.82051	29.0	146.0
0.84615	39.0	151.0
0.87179	39.0	114.0
0.89744	42.0	114.0
0.92308	26.0	131.0
0.94872	34.0	136.0
0.97436	44.0	133.0
1.0	45.0	104.0
