f	pi	p0
0.02564	4093.0	5016.0
0.05128	1451.0	2539.0
0.07692	839.0	1583.0
0.10256	520.0	1123.0
0.12821	408.0	871.0
0.15385	279.0	748.0
0.17949	230.0	601.0
0.20513	178.0	566.0
0.23077	179.0	399.0
0.25641	150.0	383.0
0.28205	121.0	348.0
0.30769	112.0	313.0
0.33333	86.0	240.0
0.35897	99.0	210.0
0.38462	94.0	264.0
0.41026	70.0	226.0
0.4359	62.0	196.0
0.46154	58.0	203.0
0.48718	61.0	193.0
0.51282	53.0	150.0
0.53846	55.0	155.0
0.5641	60.0	133.0
0.58974	51.0	139.0
0.61538	50.0	134.0
0.64103	43.0	145.0
0.66667	35.0	124.0
0.69231	44.0	128.0
0.71795	42.0	146.0
0.74359	47.0	115.0
0.76923	43.0	84.0
0.79487	25.0	90.0
0.82051	31.0	117.0
0.84615	27.0	118.0
0.87179	39.0	111.0
0.89744	42.0	111.0
0.92308	28.0	124.0
0.94872	35.0	98.0
0.97436	46.0	97.0
1.0	31.0	90.0
