f	pi	p0
0.02564	4105.0	5016.0
0.05128	1489.0	2616.0
0.07692	872.0	1490.0
0.10256	510.0	1127.0
0.12821	408.0	843.0
0.15385	280.0	726.0
0.17949	220.0	589.0
0.20513	266.0	579.0
0.23077	161.0	422.0
0.25641	172.0	362.0
0.28205	110.0	323.0
0.30769	100.0	303.0
0.33333	87.0	260.0
0.35897	101.0	237.0
0.38462	102.0	258.0
0.41026	91.0	235.0
0.4359	67.0	200.0
0.46154	61.0	179.0
0.48718	53.0	230.0
0.51282	53.0	166.0
0.53846	48.0	169.0
0.5641	47.0	146.0
0.58974	30.0	147.0
0.61538	63.0	131.0
0.64103	42.0	149.0
0.66667	51.0	129.0
0.69231	37.0	135.0
0.71795	32.0	151.0
0.74359	48.0	112.0
0.76923	50.0	101.0
0.79487	31.0	112.0
0.82051	35.0	130.0
0.84615	34.0	91.0
0.87179	42.0	136.0
0.89744	36.0	131.0
0.92308	31.0	90.0
0.94872	31.0	91.0
0.97436	37.0	79.0
1.0	24.0	104.0
