f	pi	p0
0.02564	4073.0	4920.0
0.05128	1437.0	2442.0
0.07692	828.0	1525.0
0.10256	568.0	1118.0
0.12821	394.0	783.0
0.15385	264.0	697.0
0.17949	256.0	646.0
0.20513	228.0	519.0
0.23077	139.0	414.0
0.25641	149.0	355.0
0.28205	111.0	346.0
0.30769	96.0	283.0
0.33333	78.0	246.0
0.35897	84.0	192.0
0.38462	79.0	251.0
0.41026	78.0	224.0
0.4359	69.0	175.0
0.46154	44.0	192.0
0.48718	66.0	189.0
0.51282	62.0	162.0
0.53846	59.0	186.0
0.5641	51.0	119.0
0.58974	38.0	124.0
0.61538	50.0	133.0
0.64103	30.0	146.0
0.66667	33.0	104.0
0.69231	47.0	149.0
0.71795	39.0	164.0
0.74359	53.0	94.0
0.76923	35.0	95.0
0.79487	36.0	99.0
0.82051	25.0	94.0
0.84615	17.0	106.0
0.87179	41.0	95.0
0.89744	21.0	126.0
0.92308	20.0	110.0
0.94872	27.0	103.0
0.97436	54.0	93.0
1.0	19.0	85.0
