f	pi	p0
0.02564	6368.0	5258.0
0.05128	2316.0	2485.0
0.07692	1367.0	1678.0
0.10256	889.0	1333.0
0.12821	673.0	1016.0
0.15385	518.0	788.0
0.17949	421.0	768.0
0.20513	330.0	587.0
0.23077	308.0	554.0
0.25641	292.0	406.0
0.28205	250.0	389.0
0.30769	202.0	382.0
0.33333	186.0	296.0
0.35897	173.0	309.0
0.38462	163.0	370.0
0.41026	104.0	285.0
0.4359	136.0	237.0
0.46154	148.0	214.0
0.48718	107.0	190.0
0.51282	98.0	221.0
0.53846	96.0	210.0
0.5641	68.0	172.0
0.58974	80.0	222.0
0.61538	76.0	174.0
0.64103	62.0	185.0
0.66667	79.0	162.0
0.69231	67.0	149.0
0.71795	76.0	157.0
0.74359	54.0	166.0
0.76923	59.0	143.0
0.79487	63.0	163.0
0.82051	50.0	161.0
0.84615	53.0	132.0
0.87179	41.0	160.0
0.89744	66.0	129.0
0.92308	48.0	111.0
0.94872	53.0	135.0
0.97436	50.0	118.0
1.0	67.0	172.0
