f	pi	p0
0.02564	6348.0	5125.0
0.05128	2293.0	2512.0
0.07692	1369.0	1697.0
0.10256	852.0	1271.0
0.12821	657.0	972.0
0.15385	521.0	817.0
0.17949	448.0	757.0
0.20513	348.0	565.0
0.23077	293.0	499.0
0.25641	280.0	423.0
0.28205	237.0	400.0
0.30769	184.0	347.0
0.33333	175.0	316.0
0.35897	172.0	301.0
0.38462	139.0	314.0
0.41026	113.0	274.0
0.4359	149.0	238.0
0.46154	147.0	234.0
0.48718	122.0	220.0
0.51282	89.0	234.0
0.53846	94.0	206.0
0.5641	77.0	190.0
0.58974	81.0	210.0
0.61538	83.0	186.0
0.64103	69.0	181.0
0.66667	76.0	166.0
0.69231	74.0	150.0
0.71795	67.0	151.0
0.74359	54.0	172.0
0.76923	59.0	141.0
0.79487	68.0	146.0
0.82051	54.0	151.0
0.84615	53.0	134.0
0.87179	48.0	146.0
0.89744	54.0	126.0
0.92308	47.0	120.0
0.94872	57.0	126.0
0.97436	58.0	133.0
1.0	55.0	150.0
