f	pi	p0
0.02564	6438.0	5090.0
0.05128	2274.0	2562.0
0.07692	1318.0	1684.0
0.10256	841.0	1302.0
0.12821	694.0	958.0
0.15385	524.0	865.0
0.17949	412.0	743.0
0.20513	358.0	553.0
0.23077	315.0	516.0
0.25641	273.0	446.0
0.28205	247.0	366.0
0.30769	198.0	334.0
0.33333	174.0	301.0
0.35897	176.0	314.0
0.38462	133.0	308.0
0.41026	133.0	295.0
0.4359	130.0	228.0
0.46154	148.0	217.0
0.48718	108.0	190.0
0.51282	102.0	243.0
0.53846	93.0	214.0
0.5641	86.0	181.0
0.58974	88.0	217.0
0.61538	84.0	190.0
0.64103	65.0	173.0
0.66667	77.0	190.0
0.69231	76.0	159.0
0.71795	85.0	132.0
0.74359	55.0	162.0
0.76923	64.0	154.0
0.79487	56.0	170.0
0.82051	38.0	162.0
0.84615	55.0	111.0
0.87179	45.0	137.0
0.89744	46.0	116.0
0.92308	40.0	105.0
0.94872	62.0	117.0
0.97436	72.0	141.0
1.0	59.0	151.0
