f	pi	p0
0.02564	6329.0	5111.0
0.05128	2312.0	2561.0
0.07692	1363.0	1663.0
0.10256	850.0	1225.0
0.12821	655.0	1015.0
0.15385	548.0	823.0
0.17949	464.0	734.0
0.20513	350.0	562.0
0.23077	312.0	460.0
0.25641	264.0	399.0
0.28205	237.0	397.0
0.30769	188.0	331.0
0.33333	185.0	293.0
0.35897	165.0	271.0
0.38462	137.0	327.0
0.41026	122.0	280.0
0.4359	142.0	250.0
0.46154	139.0	227.0
0.48718	122.0	240.0
0.51282	98.0	232.0
0.53846	97.0	166.0
0.5641	78.0	181.0
0.58974	87.0	191.0
0.61538	81.0	192.0
0.64103	89.0	196.0
0.66667	88.0	178.0
0.69231	63.0	169.0
0.71795	65.0	134.0
0.74359	53.0	166.0
0.76923	60.0	156.0
0.79487	60.0	148.0
0.82051	61.0	156.0
0.84615	70.0	128.0
0.87179	55.0	133.0
0.89744	58.0	143.0
0.92308	40.0	128.0
0.94872	67.0	137.0
0.97436	53.0	140.0
1.0	53.0	154.0
