f	pi	p0
0.02564	4217.0	4961.0
0.05128	1535.0	2513.0
0.07692	858.0	1610.0
0.10256	607.0	1179.0
0.12821	435.0	916.0
0.15385	310.0	727.0
0.17949	279.0	637.0
0.20513	189.0	559.0
0.23077	152.0	480.0
0.25641	159.0	447.0
0.28205	131.0	391.0
0.30769	122.0	376.0
0.33333	103.0	314.0
0.35897	95.0	299.0
0.38462	92.0	268.0
0.41026	80.0	252.0
0.4359	78.0	229.0
0.46154	65.0	196.0
0.48718	64.0	220.0
0.51282	56.0	225.0
0.53846	56.0	195.0
0.5641	50.0	150.0
0.58974	41.0	130.0
0.61538	47.0	155.0
0.64103	45.0	134.0
0.66667	47.0	141.0
0.69231	38.0	143.0
0.71795	34.0	118.0
0.74359	33.0	134.0
0.76923	39.0	142.0
0.79487	26.0	117.0
0.82051	34.0	120.0
0.84615	44.0	130.0
0.87179	37.0	111.0
0.89744	29.0	108.0
0.92308	28.0	112.0
0.94872	29.0	101.0
0.97436	36.0	110.0
1.0	32.0	107.0
