f	pi	p0
0.02564	4145.0	5045.0
0.05128	1555.0	2450.0
0.07692	843.0	1580.0
0.10256	598.0	1085.0
0.12821	448.0	936.0
0.15385	315.0	759.0
0.17949	253.0	584.0
0.20513	201.0	546.0
0.23077	150.0	484.0
0.25641	140.0	450.0
0.28205	140.0	364.0
0.30769	115.0	388.0
0.33333	104.0	323.0
0.35897	90.0	294.0
0.38462	101.0	273.0
0.41026	83.0	257.0
0.4359	63.0	194.0
0.46154	50.0	207.0
0.48718	78.0	246.0
0.51282	62.0	223.0
0.53846	59.0	222.0
0.5641	56.0	173.0
0.58974	40.0	127.0
0.61538	51.0	136.0
0.64103	46.0	141.0
0.66667	43.0	138.0
0.69231	44.0	160.0
0.71795	33.0	100.0
0.74359	53.0	151.0
0.76923	37.0	188.0
0.79487	27.0	114.0
0.82051	23.0	109.0
0.84615	58.0	141.0
0.87179	38.0	112.0
0.89744	30.0	99.0
0.92308	23.0	112.0
0.94872	22.0	95.0
0.97436	35.0	116.0
1.0	33.0	105.0
