f	pi	p0
0.02564	4192.0	4983.0
0.05128	1525.0	2612.0
0.07692	834.0	1560.0
0.10256	605.0	1178.0
0.12821	418.0	920.0
0.15385	295.0	726.0
0.17949	272.0	662.0
0.20513	188.0	576.0
0.23077	173.0	507.0
0.25641	150.0	423.0
0.28205	131.0	391.0
0.30769	116.0	383.0
0.33333	96.0	287.0
0.35897	113.0	303.0
0.38462	85.0	233.0
0.41026	62.0	244.0
0.4359	78.0	221.0
0.46154	59.0	169.0
0.48718	48.0	195.0
0.51282	47.0	226.0
0.53846	59.0	191.0
0.5641	51.0	135.0
0.58974	33.0	110.0
0.61538	44.0	157.0
0.64103	44.0	148.0
0.66667	33.0	145.0
0.69231	44.0	150.0
0.71795	35.0	125.0
0.74359	33.0	135.0
0.76923	41.0	129.0
0.79487	26.0	112.0
0.82051	39.0	152.0
0.84615	36.0	118.0
0.87179	44.0	95.0
0.89744	38.0	97.0
0.92308	22.0	117.0
0.94872	26.0	92.0
0.97436	32.0	112.0
1.0	26.0	94.0
