f	pi	p0
0.02564	4272.0	5007.0
0.05128	1514.0	2558.0
0.07692	939.0	1595.0
0.10256	567.0	1118.0
0.12821	400.0	941.0
0.15385	305.0	716.0
0.17949	278.0	630.0
0.20513	213.0	564.0
0.23077	142.0	465.0
0.25641	139.0	445.0
0.28205	124.0	406.0
0.30769	118.0	389.0
0.33333	123.0	302.0
0.35897	87.0	301.0
0.38462	101.0	276.0
0.41026	81.0	250.0
0.4359	81.0	260.0
0.46154	61.0	217.0
0.48718	50.0	200.0
0.51282	55.0	217.0
0.53846	52.0	201.0
0.5641	51.0	139.0
0.58974	34.0	123.0
0.61538	39.0	157.0
0.64103	48.0	127.0
0.66667	33.0	135.0
0.69231	32.0	135.0
0.71795	31.0	123.0
0.74359	42.0	119.0
0.76923	50.0	136.0
0.79487	15.0	118.0
0.82051	33.0	94.0
0.84615	53.0	106.0
0.87179	41.0	86.0
0.89744	24.0	116.0
0.92308	29.0	109.0
0.94872	34.0	99.0
0.97436	44.0	115.0
1.0	35.0	113.0
