f	pi	p0
0.02564	4163.0	4933.0
0.05128	1529.0	2508.0
0.07692	847.0	1591.0
0.10256	616.0	1156.0
0.12821	406.0	873.0
0.15385	270.0	720.0
0.17949	292.0	685.0
0.20513	217.0	567.0
0.23077	184.0	439.0
0.25641	169.0	440.0
0.28205	151.0	417.0
0.30769	125.0	363.0
0.33333	94.0	327.0
0.35897	96.0	323.0
0.38462	73.0	263.0
0.41026	79.0	265.0
0.4359	82.0	217.0
0.46154	72.0	191.0
0.48718	76.0	204.0
0.51282	63.0	228.0
0.53846	43.0	217.0
0.5641	55.0	183.0
0.58974	53.0	132.0
0.61538	46.0	155.0
0.64103	54.0	129.0
0.66667	69.0	124.0
0.69231	27.0	136.0
0.71795	30.0	99.0
0.74359	29.0	129.0
0.76923	48.0	163.0
0.79487	30.0	114.0
0.82051	29.0	120.0
0.84615	42.0	132.0
0.87179	25.0	116.0
0.89744	22.0	99.0
0.92308	28.0	111.0
0.94872	35.0	100.0
0.97436	33.0	125.0
1.0	41.0	121.0
