f	pi	p0
0.02564	4209.0	4929.0
0.05128	1591.0	2505.0
0.07692	877.0	1571.0
0.10256	617.0	1209.0
0.12821	427.0	934.0
0.15385	337.0	722.0
0.17949	274.0	631.0
0.20513	210.0	511.0
0.23077	143.0	461.0
0.25641	190.0	459.0
0.28205	152.0	358.0
0.30769	142.0	426.0
0.33333	87.0	324.0
0.35897	103.0	288.0
0.38462	87.0	266.0
0.41026	103.0	207.0
0.4359	72.0	224.0
0.46154	57.0	158.0
0.48718	59.0	229.0
0.51282	59.0	213.0
0.53846	56.0	171.0
0.5641	46.0	144.0
0.58974	41.0	124.0
0.61538	32.0	150.0
0.64103	51.0	148.0
0.66667	42.0	127.0
0.69231	42.0	151.0
0.71795	50.0	111.0
0.74359	38.0	151.0
0.76923	41.0	122.0
0.79487	25.0	100.0
0.82051	38.0	119.0
0.84615	49.0	129.0
0.87179	35.0	119.0
0.89744	26.0	112.0
0.92308	28.0	125.0
0.94872	28.0	88.0
0.97436	43.0	120.0
1.0	24.0	93.0
