test	analysis	variable	value
imp1	genes_28k	d	0.8180282948092027
imp2	genes_28k	d	0.8180282918677153
slim	genes_28k	d	0.8180282933204341
imp1	genes_28k	d	0.8198547755197532
imp2	genes_28k	d	0.8198547718657148
slim	genes_28k	d	0.8198547747656362
imp1	genes_28k	d	0.8190851018845926
imp2	genes_28k	d	0.819085100836738
slim	genes_28k	d	0.8190851049605563
imp1	genes_28k	d	0.8229330540655672
imp2	genes_28k	d	0.8229330558926631
slim	genes_28k	d	0.8229330536619472
imp1	genes_28k	d	0.8201268971727229
imp2	genes_28k	d	0.820126897604961
slim	genes_28k	d	0.820126896088071
imp1	genes_28k	d	0.8208538999036704
imp2	genes_28k	d	0.8208538994325103
slim	genes_28k	d	0.8208538958056731
imp1	genes_28k	d	0.819798525209416
imp2	genes_28k	d	0.819798528892544
slim	genes_28k	d	0.8197985283518546
imp1	genes_28k	d	0.8189212508816044
imp2	genes_28k	d	0.8189212484555226
slim	genes_28k	d	0.8189212508062558
imp1	genes_28k	d	0.821078550712416
imp2	genes_28k	d	0.821078555785359
slim	genes_28k	d	0.8210785545559632
imp1	genes_28k	d	0.8205855038050472
imp2	genes_28k	d	0.8205855037258261
slim	genes_28k	d	0.8205855053558437
imp1	genes_28k	d	0.8229755188851655
imp2	genes_28k	d	0.8229755185471517
slim	genes_28k	d	0.8229755178907722
imp1	genes_28k	d	0.8201226425622711
imp2	genes_28k	d	0.8201226430902882
slim	genes_28k	d	0.8201226436520554
imp1	genes_28k	d	0.8195829224345504
imp2	genes_28k	d	0.8195829280710029
slim	genes_28k	d	0.8195829252161975
imp1	genes_28k	d	0.8222778267026485
imp2	genes_28k	d	0.8222778233267098
slim	genes_28k	d	0.8222778264314609
imp1	genes_28k	d	0.8184680026750348
imp2	genes_28k	d	0.8184680021340995
slim	genes_28k	d	0.8184680045881161
imp1	genes_28k	d	0.8199565944217375
imp2	genes_28k	d	0.8199565951277378
slim	genes_28k	d	0.8199565978768151
imp1	genes_28k	d	0.8214926516664611
imp2	genes_28k	d	0.8214926564022241
slim	genes_28k	d	0.8214926535310447
imp1	genes_28k	d	0.8175790633848337
imp2	genes_28k	d	0.8175790667166707
slim	genes_28k	d	0.8175790662016209
imp1	genes_28k	d	0.820414869438396
imp2	genes_28k	d	0.8204148673747281
slim	genes_28k	d	0.8204148654535706
imp1	genes_28k	d	0.8206577330656176
imp2	genes_28k	d	0.8206577304205795
slim	genes_28k	d	0.820657729119677
imp1	genes_28k	d	0.8175416309245498
imp2	genes_28k	d	0.8175416267286273
slim	genes_28k	d	0.8175416295919664
imp1	genes_28k	d	0.8200153060101094
imp2	genes_28k	d	0.8200153040106963
slim	genes_28k	d	0.8200153071093954
imp1	genes_28k	d	0.8181412578929304
imp2	genes_28k	d	0.8181412535634567
slim	genes_28k	d	0.8181412539253572
imp1	genes_28k	d	0.8201130360474045
imp2	genes_28k	d	0.8201130366058387
slim	genes_28k	d	0.8201130400357146
imp1	genes_28k	d	0.8158935422068071
imp2	genes_28k	d	0.8158935491168076
slim	genes_28k	d	0.815893545156746
imp1	genes_28k	d	0.8170519878904975
imp2	genes_28k	d	0.8170519904088337
slim	genes_28k	d	0.8170519890052445
imp1	genes_28k	d	0.8195000961261687
imp2	genes_28k	d	0.8195001006667406
slim	genes_28k	d	0.8195001001803246
imp1	genes_28k	d	0.8201281235179027
imp2	genes_28k	d	0.8201281216251788
slim	genes_28k	d	0.8201281214979845
imp1	genes_28k	d	0.8187150879284248
imp2	genes_28k	d	0.818715086333998
slim	genes_28k	d	0.8187150861667049
imp1	genes_28k	d	0.8201782115951499
imp2	genes_28k	d	0.8201782130899286
slim	genes_28k	d	0.8201782116452965
imp1	genes_28k	d	0.8190490611292468
imp2	genes_28k	d	0.8190490584813709
slim	genes_28k	d	0.8190490624500072
imp1	genes_28k	d	0.8195822376388462
imp2	genes_28k	d	0.8195822371342709
slim	genes_28k	d	0.8195822345012349
imp1	genes_28k	d	0.8219988658576487
imp2	genes_28k	d	0.821998868981435
slim	genes_28k	d	0.821998866553322
imp1	genes_28k	d	0.8187236443126473
imp2	genes_28k	d	0.8187236387473646
slim	genes_28k	d	0.8187236406798495
imp1	genes_28k	d	0.8186855103992288
imp2	genes_28k	d	0.8186855075934878
slim	genes_28k	d	0.8186855097610246
imp1	genes_28k	d	0.8213758653985719
imp2	genes_28k	d	0.8213758663293032
slim	genes_28k	d	0.8213758636882003
imp1	genes_28k	d	0.8183456391437599
imp2	genes_28k	d	0.8183456462255134
slim	genes_28k	d	0.8183456432904388
imp1	genes_28k	d	0.8199394579995644
imp2	genes_28k	d	0.8199394532044477
slim	genes_28k	d	0.8199394540690428
imp1	genes_28k	d	0.8203703209822703
imp2	genes_28k	d	0.8203703235501354
slim	genes_28k	d	0.8203703238028182
imp1	genes_28k	d	0.8204356138126094
imp2	genes_28k	d	0.8204356131004499
slim	genes_28k	d	0.8204356117635251
imp1	genes_28k	d	0.8201966927521926
imp2	genes_28k	d	0.8201966920501877
slim	genes_28k	d	0.8201966938690103
imp1	genes_28k	d	0.8227862789591724
imp2	genes_28k	d	0.8227862802759749
slim	genes_28k	d	0.8227862830166726
imp1	genes_28k	d	0.820182594527866
imp2	genes_28k	d	0.8201825956971183
slim	genes_28k	d	0.8201825956702566
imp1	genes_28k	d	0.8203819303192716
imp2	genes_28k	d	0.8203819306695251
slim	genes_28k	d	0.820381929527516
imp1	genes_28k	d	0.8195946021083226
imp2	genes_28k	d	0.819594605339621
slim	genes_28k	d	0.8195946060267668
imp1	genes_28k	d	0.8188639063036001
imp2	genes_28k	d	0.8188639106859152
slim	genes_28k	d	0.8188639069127979
imp1	genes_28k	d	0.8191176116039931
imp2	genes_28k	d	0.8191176108394558
slim	genes_28k	d	0.8191176100470642
imp1	genes_28k	d	0.8189862148125968
imp2	genes_28k	d	0.81898621793484
slim	genes_28k	d	0.8189862153494853
imp1	genes_28k	d	0.8207764847024199
imp2	genes_28k	d	0.8207764884667974
slim	genes_28k	d	0.8207764847512039
imp1	genes_28k	d	0.8224114628234603
imp2	genes_28k	d	0.8224114593879697
slim	genes_28k	d	0.822411461876328
imp1	2nes_neg_1000	d	0.7819403999367426
imp2	2nes_neg_1000	d	0.7819403909271745
slim	2nes_neg_1000	d	0.7819403935767206
imp1	2nes_neg_1000	d	0.7812183229073464
imp2	2nes_neg_1000	d	0.7812183239073878
slim	2nes_neg_1000	d	0.7812183162968503
imp1	2nes_neg_1000	d	0.7796917576904925
imp2	2nes_neg_1000	d	0.7796917511191311
slim	2nes_neg_1000	d	0.7796917497733454
imp1	2nes_neg_1000	d	0.7873634509923781
imp2	2nes_neg_1000	d	0.7873634453050825
slim	2nes_neg_1000	d	0.7873634455517544
imp1	2nes_neg_1000	d	0.7823366117293806
imp2	2nes_neg_1000	d	0.7823366141158271
slim	2nes_neg_1000	d	0.7823366136765078
imp1	2nes_neg_1000	d	0.7809027217048358
imp2	2nes_neg_1000	d	0.7809027204125658
slim	2nes_neg_1000	d	0.7809027255560569
imp1	2nes_neg_1000	d	0.7810082431221004
imp2	2nes_neg_1000	d	0.7810082481298422
slim	2nes_neg_1000	d	0.7810082418971533
imp1	2nes_neg_1000	d	0.7809431406842862
imp2	2nes_neg_1000	d	0.7809431456699375
slim	2nes_neg_1000	d	0.7809431425605419
imp1	2nes_neg_1000	d	0.779761910723664
imp2	2nes_neg_1000	d	0.7797618968793966
slim	2nes_neg_1000	d	0.7797619047619048
imp1	2nes_neg_1000	d	0.7838413032838979
imp2	2nes_neg_1000	d	0.783841300460815
slim	2nes_neg_1000	d	0.7838413062636138
imp1	2nes_neg_1000	d	0.7803144889145024
imp2	2nes_neg_1000	d	0.7803144871839832
slim	2nes_neg_1000	d	0.7803144844269732
imp1	2nes_neg_1000	d	0.7790332399796673
imp2	2nes_neg_1000	d	0.7790332456145522
slim	2nes_neg_1000	d	0.7790332387515201
imp1	2nes_neg_1000	d	0.7798054774491492
imp2	2nes_neg_1000	d	0.779805483254379
slim	2nes_neg_1000	d	0.7798054764809543
imp1	2nes_neg_1000	d	0.7822939560477762
imp2	2nes_neg_1000	d	0.7822939505977913
slim	2nes_neg_1000	d	0.7822939496579664
imp1	2nes_neg_1000	d	0.7819105333101006
imp2	2nes_neg_1000	d	0.7819105414151236
slim	2nes_neg_1000	d	0.7819105385399435
imp1	2nes_neg_1000	d	0.7822219996417802
imp2	2nes_neg_1000	d	0.7822219992284478
slim	2nes_neg_1000	d	0.782221999733013
imp1	2nes_neg_1000	d	0.7870351851810162
imp2	2nes_neg_1000	d	0.7870351779956459
slim	2nes_neg_1000	d	0.7870351792402355
imp1	2nes_neg_1000	d	0.7789529937263657
imp2	2nes_neg_1000	d	0.7789529961389929
slim	2nes_neg_1000	d	0.7789529968085285
imp1	2nes_neg_1000	d	0.7800695974390564
imp2	2nes_neg_1000	d	0.7800695991114817
slim	2nes_neg_1000	d	0.7800695950375712
imp1	2nes_neg_1000	d	0.7834636450519645
imp2	2nes_neg_1000	d	0.7834636503753213
slim	2nes_neg_1000	d	0.7834636460839348
imp1	2nes_neg_1000	d	0.7783686136963646
imp2	2nes_neg_1000	d	0.7783686209980805
slim	2nes_neg_1000	d	0.7783686164342329
imp1	2nes_neg_1000	d	0.7835578344791289
imp2	2nes_neg_1000	d	0.783557835428915
slim	2nes_neg_1000	d	0.7835578340705
imp1	2nes_neg_1000	d	0.7839487714683101
imp2	2nes_neg_1000	d	0.7839487867125321
slim	2nes_neg_1000	d	0.78394877903514
imp1	2nes_neg_1000	d	0.7807940571829542
imp2	2nes_neg_1000	d	0.7807940577323569
slim	2nes_neg_1000	d	0.7807940623252504
imp1	2nes_neg_1000	d	0.78026127344354
imp2	2nes_neg_1000	d	0.7802612626468383
slim	2nes_neg_1000	d	0.7802612675821055
imp1	2nes_neg_1000	d	0.7823081619018252
imp2	2nes_neg_1000	d	0.7823081608597917
slim	2nes_neg_1000	d	0.7823081546784212
imp1	2nes_neg_1000	d	0.779166659348918
imp2	2nes_neg_1000	d	0.7791666682915358
slim	2nes_neg_1000	d	0.7791666666666667
imp1	2nes_neg_1000	d	0.7765582541252307
imp2	2nes_neg_1000	d	0.776558254963623
slim	2nes_neg_1000	d	0.7765582587291151
imp1	2nes_neg_1000	d	0.7816817340467096
imp2	2nes_neg_1000	d	0.78168174604995
slim	2nes_neg_1000	d	0.7816817413775967
imp1	2nes_neg_1000	d	0.7848213299695517
imp2	2nes_neg_1000	d	0.7848213221747715
slim	2nes_neg_1000	d	0.7848213242535009
imp1	2nes_neg_1000	d	0.7829114262275786
imp2	2nes_neg_1000	d	0.7829114210356498
slim	2nes_neg_1000	d	0.7829114238822301
imp1	2nes_neg_1000	d	0.7829739160577568
imp2	2nes_neg_1000	d	0.7829739184996893
slim	2nes_neg_1000	d	0.7829739196839152
imp1	2nes_neg_1000	d	0.7839539963778367
imp2	2nes_neg_1000	d	0.7839539856376261
slim	2nes_neg_1000	d	0.7839539932713502
imp1	2nes_neg_1000	d	0.7798776812118391
imp2	2nes_neg_1000	d	0.7798776747421953
slim	2nes_neg_1000	d	0.7798776819731301
imp1	2nes_neg_1000	d	0.7810711681000422
imp2	2nes_neg_1000	d	0.7810711709795918
slim	2nes_neg_1000	d	0.7810711640745978
imp1	2nes_neg_1000	d	0.77686999026782
imp2	2nes_neg_1000	d	0.7768699963543858
slim	2nes_neg_1000	d	0.776869998162164
imp1	2nes_neg_1000	d	0.7834970958556118
imp2	2nes_neg_1000	d	0.7834970963105186
slim	2nes_neg_1000	d	0.7834970987746688
imp1	2nes_neg_1000	d	0.7837116971491583
imp2	2nes_neg_1000	d	0.7837117066779142
slim	2nes_neg_1000	d	0.7837117045037838
imp1	2nes_neg_1000	d	0.7855928114306034
imp2	2nes_neg_1000	d	0.7855928098516637
slim	2nes_neg_1000	d	0.7855928145689897
imp1	2nes_neg_1000	d	0.7850600416594042
imp2	2nes_neg_1000	d	0.7850600399218415
slim	2nes_neg_1000	d	0.7850600414078674
imp1	2nes_neg_1000	d	0.781154455582947
imp2	2nes_neg_1000	d	0.7811544531385964
slim	2nes_neg_1000	d	0.7811544535161106
imp1	2nes_neg_1000	d	0.7785457930167689
imp2	2nes_neg_1000	d	0.7785457855040123
slim	2nes_neg_1000	d	0.7785457884631438
imp1	2nes_neg_1000	d	0.7754472920026897
imp2	2nes_neg_1000	d	0.7754472832748824
slim	2nes_neg_1000	d	0.7754472859597695
imp1	2nes_neg_1000	d	0.781314094918939
imp2	2nes_neg_1000	d	0.7813140910230998
slim	2nes_neg_1000	d	0.7813140993308451
imp1	2nes_neg_1000	d	0.782871904459838
imp2	2nes_neg_1000	d	0.7828718993982207
slim	2nes_neg_1000	d	0.7828719011663294
imp1	2nes_neg_1000	d	0.7821782148259826
imp2	2nes_neg_1000	d	0.782178210673569
slim	2nes_neg_1000	d	0.7821782178217822
imp1	2nes_neg_1000	d	0.7843078826845473
imp2	2nes_neg_1000	d	0.784307876860352
slim	2nes_neg_1000	d	0.7843078808352791
imp1	2nes_neg_1000	d	0.7803342700496247
imp2	2nes_neg_1000	d	0.7803342754831192
slim	2nes_neg_1000	d	0.7803342775265452
imp1	2nes_neg_1000	d	0.7795803556079672
imp2	2nes_neg_1000	d	0.7795803520729958
slim	2nes_neg_1000	d	0.7795803590741943
imp1	2nes_neg_1000	d	0.7804836835778383
imp2	2nes_neg_1000	d	0.7804836923881692
slim	2nes_neg_1000	d	0.7804836885896073
imp1	2nes_neg_1000	d	0.779536816556541
imp2	2nes_neg_1000	d	0.7795368239796424
slim	2nes_neg_1000	d	0.7795368222916876
imp1	2nes_neg_1000	d	0.7804828576746539
imp2	2nes_neg_1000	d	0.7804828516477947
slim	2nes_neg_1000	d	0.7804828565631974
imp1	2nes_neg_1000	d	0.7834692992924928
imp2	2nes_neg_1000	d	0.7834693037586804
slim	2nes_neg_1000	d	0.7834693036670788
imp1	2nes_neg_1000	d	0.7808539863628199
imp2	2nes_neg_1000	d	0.7808539860650809
slim	2nes_neg_1000	d	0.7808539806734209
imp1	2nes_neg_1000	d	0.779554614784896
imp2	2nes_neg_1000	d	0.7795546022620404
slim	2nes_neg_1000	d	0.7795546079128168
imp1	2nes_neg_1000	d	0.7809022638896246
imp2	2nes_neg_1000	d	0.7809022543065229
slim	2nes_neg_1000	d	0.7809022556390978
imp1	2nes_neg_1000	d	0.7808407361281944
imp2	2nes_neg_1000	d	0.780840746604719
slim	2nes_neg_1000	d	0.7808407423963973
imp1	2nes_neg_1000	d	0.7828896253448145
imp2	2nes_neg_1000	d	0.7828896333319215
slim	2nes_neg_1000	d	0.7828896312042379
imp1	2nes_neg_1000	d	0.780401496597929
imp2	2nes_neg_1000	d	0.7804014950384727
slim	2nes_neg_1000	d	0.780401494857294
imp1	2nes_neg_1000	d	0.7823511682701305
imp2	2nes_neg_1000	d	0.7823511636692599
slim	2nes_neg_1000	d	0.782351169561289
imp1	2nes_neg_1000	d	0.7818384237089089
imp2	2nes_neg_1000	d	0.7818384220020683
slim	2nes_neg_1000	d	0.7818384271492912
imp1	2nes_neg_1000	d	0.7808660582587348
imp2	2nes_neg_1000	d	0.7808660549435493
slim	2nes_neg_1000	d	0.7808660624370594
imp1	2nes_neg_1000	d	0.7818930119449441
imp2	2nes_neg_1000	d	0.7818930017774091
slim	2nes_neg_1000	d	0.7818930041152263
imp1	2nes_neg_1000	d	0.7812748942815886
imp2	2nes_neg_1000	d	0.7812749082369331
slim	2nes_neg_1000	d	0.7812749003984064
imp1	2nes_neg_1000	d	0.7835341098006485
imp2	2nes_neg_1000	d	0.7835341193029932
slim	2nes_neg_1000	d	0.7835341166360947
imp1	2nes_neg_1000	d	0.7842628226903301
imp2	2nes_neg_1000	d	0.7842628150123193
slim	2nes_neg_1000	d	0.7842628189125768
imp1	2nes_neg_1000	d	0.7769736574000413
imp2	2nes_neg_1000	d	0.7769736498061436
slim	2nes_neg_1000	d	0.7769736506803935
imp1	2nes_neg_1000	d	0.7830502886047268
imp2	2nes_neg_1000	d	0.7830502881121156
slim	2nes_neg_1000	d	0.783050283050283
imp1	2nes_neg_1000	d	0.7803763398349294
imp2	2nes_neg_1000	d	0.7803763371338525
slim	2nes_neg_1000	d	0.7803763440860215
imp1	2nes_neg_1000	d	0.785579923947103
imp2	2nes_neg_1000	d	0.785579910094103
slim	2nes_neg_1000	d	0.7855799164294395
imp1	2nes_neg_1000	d	0.7801312403613458
imp2	2nes_neg_1000	d	0.7801312339328456
slim	2nes_neg_1000	d	0.7801312401362239
imp1	2nes_neg_1000	d	0.7782463881940106
imp2	2nes_neg_1000	d	0.7782463964392219
slim	2nes_neg_1000	d	0.778246389181771
imp1	2nes_neg_1000	d	0.7755803880642403
imp2	2nes_neg_1000	d	0.7755803789606999
slim	2nes_neg_1000	d	0.7755803811057435
imp1	2nes_neg_1000	d	0.7763255661305046
imp2	2nes_neg_1000	d	0.7763255682767263
slim	2nes_neg_1000	d	0.7763255656872678
imp1	2nes_neg_1000	d	0.7853189105566242
imp2	2nes_neg_1000	d	0.7853189006339911
slim	2nes_neg_1000	d	0.7853189049020097
imp1	2nes_neg_1000	d	0.7818026887471343
imp2	2nes_neg_1000	d	0.7818026932458411
slim	2nes_neg_1000	d	0.7818026955258279
imp1	2nes_neg_1000	d	0.7832354995471746
imp2	2nes_neg_1000	d	0.7832355001413567
slim	2nes_neg_1000	d	0.783235495793822
imp1	2nes_neg_1000	d	0.7782871562036847
imp2	2nes_neg_1000	d	0.7782871539524571
slim	2nes_neg_1000	d	0.778287153652393
imp1	2nes_neg_1000	d	0.7771223275571526
imp2	2nes_neg_1000	d	0.7771223180862872
slim	2nes_neg_1000	d	0.777122321670735
imp1	2nes_neg_1000	d	0.7840410787461466
imp2	2nes_neg_1000	d	0.7840410842897244
slim	2nes_neg_1000	d	0.7840410810450325
imp1	2nes_neg_1000	d	0.7825095716055719
imp2	2nes_neg_1000	d	0.7825095671323643
slim	2nes_neg_1000	d	0.7825095689798636
imp1	2nes_neg_1000	d	0.7837174057312939
imp2	2nes_neg_1000	d	0.7837173965829465
slim	2nes_neg_1000	d	0.7837174034879504
imp1	2nes_neg_1000	d	0.7803236993326456
imp2	2nes_neg_1000	d	0.7803236948686845
slim	2nes_neg_1000	d	0.7803236952173123
imp1	2nes_neg_1000	d	0.7782715876464782
imp2	2nes_neg_1000	d	0.7782715773030846
slim	2nes_neg_1000	d	0.7782715802789707
imp1	2nes_neg_1000	d	0.7772631586300441
imp2	2nes_neg_1000	d	0.7772631653616939
slim	2nes_neg_1000	d	0.7772631650380022
imp1	2nes_neg_1000	d	0.7789484295022714
imp2	2nes_neg_1000	d	0.7789484212097131
slim	2nes_neg_1000	d	0.7789484246437889
imp1	2nes_neg_1000	d	0.7814415724873451
imp2	2nes_neg_1000	d	0.7814415810573792
slim	2nes_neg_1000	d	0.7814415768813163
imp1	2nes_neg_1000	d	0.7818539293727913
imp2	2nes_neg_1000	d	0.7818539240148097
slim	2nes_neg_1000	d	0.7818539250966281
imp1	2nes_neg_1000	d	0.7823686010748578
imp2	2nes_neg_1000	d	0.7823685907428863
slim	2nes_neg_1000	d	0.7823685928008435
imp1	2nes_neg_1000	d	0.7843393240619609
imp2	2nes_neg_1000	d	0.7843393219170441
slim	2nes_neg_1000	d	0.7843393257674668
imp1	2nes_neg_1000	d	0.778611018763777
imp2	2nes_neg_1000	d	0.7786110181909595
slim	2nes_neg_1000	d	0.7786110260857736
imp1	2nes_neg_1000	d	0.7815100561029376
imp2	2nes_neg_1000	d	0.7815100627207645
slim	2nes_neg_1000	d	0.7815100620366168
imp1	2nes_neg_1000	d	0.7792010450772795
imp2	2nes_neg_1000	d	0.7792010548399331
slim	2nes_neg_1000	d	0.7792010531112349
imp1	2nes_neg_1000	d	0.7836132367360327
imp2	2nes_neg_1000	d	0.7836132284448352
slim	2nes_neg_1000	d	0.7836132366093611
imp1	2nes_neg_1000	d	0.7822980456875095
imp2	2nes_neg_1000	d	0.7822980402893078
slim	2nes_neg_1000	d	0.7822980388256163
imp1	2nes_neg_1000	d	0.7797727404855133
imp2	2nes_neg_1000	d	0.7797727351430828
slim	2nes_neg_1000	d	0.7797727425989616
imp1	2nes_neg_1000	d	0.7856114664784806
imp2	2nes_neg_1000	d	0.785611455570733
slim	2nes_neg_1000	d	0.7856114626226106
imp1	2nes_neg_1000	d	0.7799338166211223
imp2	2nes_neg_1000	d	0.7799338081132074
slim	2nes_neg_1000	d	0.7799338146811071
imp1	2nes_neg_1000	d	0.7759802375801376
imp2	2nes_neg_1000	d	0.7759802387070843
slim	2nes_neg_1000	d	0.7759802439270235
imp1	2nes_neg_1000	d	0.7794431204792953
imp2	2nes_neg_1000	d	0.7794431043979229
slim	2nes_neg_1000	d	0.7794431121769252
imp1	genes_1k	d	0.8195045709401214
imp2	genes_1k	d	0.8195046465992817
slim	genes_1k	d	0.8195046095745863
imp1	genes_1k	d	0.8190475798218749
imp2	genes_1k	d	0.8190475986908796
slim	genes_1k	d	0.819047619047619
imp1	genes_1k	d	0.8321062433351322
imp2	genes_1k	d	0.8321062367007055
slim	genes_1k	d	0.8321062025881303
imp1	genes_1k	d	0.8230694109990147
imp2	genes_1k	d	0.8230694037145649
slim	genes_1k	d	0.823069403714565
imp1	genes_1k	d	0.8240008246422138
imp2	genes_1k	d	0.8240008367028607
slim	genes_1k	d	0.8240008783487045
imp1	genes_1k	d	0.8262848038486337
imp2	genes_1k	d	0.826284875618209
slim	genes_1k	d	0.8262848262848264
imp1	genes_1k	d	0.8308625141391318
imp2	genes_1k	d	0.8308625686539495
slim	genes_1k	d	0.8308625336927224
imp1	genes_1k	d	0.8385929781128434
imp2	genes_1k	d	0.8385930828056334
slim	genes_1k	d	0.8385930309007232
imp1	genes_1k	d	0.8279285246326554
imp2	genes_1k	d	0.827928577112585
slim	genes_1k	d	0.827928524156188
imp1	genes_1k	d	0.8171757481737738
imp2	genes_1k	d	0.8171757074267034
slim	genes_1k	d	0.8171757414785303
imp1	genes_1k	d	0.8226158723084143
imp2	genes_1k	d	0.8226159185880066
slim	genes_1k	d	0.8226159230096238
imp1	genes_1k	d	0.8266447239140428
imp2	genes_1k	d	0.8266447823240399
slim	genes_1k	d	0.8266447368421053
imp1	genes_1k	d	0.8289122799199498
imp2	genes_1k	d	0.8289123716237811
slim	genes_1k	d	0.8289123255566209
imp1	genes_1k	d	0.8327886942010847
imp2	genes_1k	d	0.8327886250885896
slim	genes_1k	d	0.8327886710239651
imp1	genes_1k	d	0.8208361246135831
imp2	genes_1k	d	0.8208361174760391
slim	genes_1k	d	0.8208361735969099
imp1	genes_1k	d	0.8240710021754867
imp2	genes_1k	d	0.8240709448091845
slim	genes_1k	d	0.8240709927897948
imp1	genes_1k	d	0.8320346772554519
imp2	genes_1k	d	0.8320346149924549
slim	genes_1k	d	0.8320346320346321
imp1	genes_1k	d	0.8338761907424753
imp2	genes_1k	d	0.8338761908568307
slim	genes_1k	d	0.8338762214983714
imp1	genes_1k	d	0.8290022255171436
imp2	genes_1k	d	0.8290022899817311
slim	genes_1k	d	0.8290022457491177
imp1	genes_1k	d	0.8255070993481419
imp2	genes_1k	d	0.8255070800402913
slim	genes_1k	d	0.8255070546737213
imp1	genes_1k	d	0.8199976744957271
imp2	genes_1k	d	0.8199977301100896
slim	genes_1k	d	0.8199977301100897
imp1	genes_1k	d	0.8238718643495679
imp2	genes_1k	d	0.8238718614482807
slim	genes_1k	d	0.8238719068413392
imp1	genes_1k	d	0.8360171179836776
imp2	genes_1k	d	0.8360170355379859
slim	genes_1k	d	0.8360170883996056
imp1	genes_1k	d	0.833866188168298
imp2	genes_1k	d	0.8338661881236699
slim	genes_1k	d	0.8338661551577153
imp1	genes_1k	d	0.8242304175109576
imp2	genes_1k	d	0.8242303700709683
slim	genes_1k	d	0.8242303872889771
imp1	genes_1k	d	0.8251076759796104
imp2	genes_1k	d	0.8251076070270085
slim	genes_1k	d	0.8251076515402451
imp1	genes_1k	d	0.8339326961906044
imp2	genes_1k	d	0.8339326919404766
slim	genes_1k	d	0.8339326577312848
imp1	genes_1k	d	0.8256042197972268
imp2	genes_1k	d	0.8256041958259464
slim	genes_1k	d	0.8256041802743306
imp1	genes_1k	d	0.8413588496489293
imp2	genes_1k	d	0.8413588756962768
slim	genes_1k	d	0.8413588390501319
imp1	genes_1k	d	0.825688068696947
imp2	genes_1k	d	0.8256880733944955
slim	genes_1k	d	0.8256880733944955
imp1	genes_1k	d	0.8262470651671937
imp2	genes_1k	d	0.8262470491494014
slim	genes_1k	d	0.8262470706394376
imp1	genes_1k	d	0.8267777868836579
imp2	genes_1k	d	0.826777796934866
slim	genes_1k	d	0.8267777777777778
imp1	genes_1k	d	0.8253179067196892
imp2	genes_1k	d	0.8253178573709584
slim	genes_1k	d	0.8253178551686015
imp1	genes_1k	d	0.8233199717893938
imp2	genes_1k	d	0.8233200324446933
slim	genes_1k	d	0.8233199821984869
imp1	genes_1k	d	0.8349647284258144
imp2	genes_1k	d	0.8349647498405741
slim	genes_1k	d	0.834964740553626
imp1	genes_1k	d	0.8297416149408375
imp2	genes_1k	d	0.8297416005713572
slim	genes_1k	d	0.8297416103784712
imp1	genes_1k	d	0.8284574232724534
imp2	genes_1k	d	0.8284574783612338
slim	genes_1k	d	0.8284574468085106
imp1	genes_1k	d	0.8309067210165706
imp2	genes_1k	d	0.8309066339262616
slim	genes_1k	d	0.8309066843150232
imp1	genes_1k	d	0.8368521567835134
imp2	genes_1k	d	0.8368522209503567
slim	genes_1k	d	0.836852207293666
imp1	genes_1k	d	0.8196845985184176
imp2	genes_1k	d	0.8196846519481319
slim	genes_1k	d	0.8196846112017401
imp1	genes_1k	d	0.832846812267993
imp2	genes_1k	d	0.8328468043317384
slim	genes_1k	d	0.8328467942480269
imp1	genes_1k	d	0.8237052066325266
imp2	genes_1k	d	0.823705140013423
slim	genes_1k	d	0.8237051792828686
imp1	genes_1k	d	0.8258494252922071
imp2	genes_1k	d	0.8258493954745465
slim	genes_1k	d	0.8258494482683274
imp1	genes_1k	d	0.8199718898334083
imp2	genes_1k	d	0.8199718730636452
slim	genes_1k	d	0.819971870604782
imp1	genes_1k	d	0.8231018353290753
imp2	genes_1k	d	0.823101852707024
slim	genes_1k	d	0.8231018673823102
imp1	genes_1k	d	0.819828848441179
imp2	genes_1k	d	0.8198288738888939
slim	genes_1k	d	0.8198288318328332
imp1	genes_1k	d	0.8177333833105386
imp2	genes_1k	d	0.8177333682012824
slim	genes_1k	d	0.8177334250974995
imp1	genes_1k	d	0.8339925335363303
imp2	genes_1k	d	0.8339925615581205
slim	genes_1k	d	0.8339925291144803
imp1	genes_1k	d	0.8327280921097513
imp2	genes_1k	d	0.8327280499599529
slim	genes_1k	d	0.8327280730714207
imp1	genes_1k	d	0.8278160431818249
imp2	genes_1k	d	0.8278160093877748
slim	genes_1k	d	0.8278160166065771
imp1	genes_1k	d	0.8197622591398726
imp2	genes_1k	d	0.8197621694439694
slim	genes_1k	d	0.8197622252131
imp1	genes_1k	d	0.8280387995979757
imp2	genes_1k	d	0.8280388263842929
slim	genes_1k	d	0.828038826384293
imp1	genes_1k	d	0.8304681094231536
imp2	genes_1k	d	0.8304681857141041
slim	genes_1k	d	0.8304681587198617
imp1	genes_1k	d	0.8217723274391056
imp2	genes_1k	d	0.8217722770640816
slim	genes_1k	d	0.8217723199468968
imp1	genes_1k	d	0.8205299832431006
imp2	genes_1k	d	0.8205300147414608
slim	genes_1k	d	0.820530023482053
imp1	genes_1k	d	0.8323015278000317
imp2	genes_1k	d	0.8323014835039306
slim	genes_1k	d	0.8323015097208646
imp1	genes_1k	d	0.8226561653840878
imp2	genes_1k	d	0.8226561512196375
slim	genes_1k	d	0.8226561607856572
imp1	genes_1k	d	0.833445314921441
