f	pi	p0
0.02564	38130.0	42661.0
0.05128	12118.0	18722.0
0.07692	6499.0	11290.0
0.10256	4159.0	7765.0
0.12821	2869.0	5912.0
0.15385	2068.0	4567.0
0.17949	1654.0	3807.0
0.20513	1455.0	3085.0
0.23077	1110.0	2653.0
0.25641	943.0	2246.0
0.28205	821.0	2078.0
0.30769	712.0	1834.0
0.33333	546.0	1549.0
0.35897	643.0	1560.0
0.38462	545.0	1284.0
0.41026	465.0	1279.0
0.4359	427.0	1132.0
0.46154	438.0	980.0
0.48718	341.0	1002.0
0.51282	274.0	864.0
0.53846	281.0	925.0
0.5641	308.0	860.0
0.58974	275.0	833.0
0.61538	257.0	773.0
0.64103	251.0	745.0
0.66667	246.0	791.0
0.69231	271.0	711.0
0.71795	227.0	693.0
0.74359	193.0	616.0
0.76923	231.0	619.0
0.79487	253.0	609.0
0.82051	187.0	581.0
0.84615	195.0	649.0
0.87179	195.0	601.0
0.89744	243.0	640.0
0.92308	203.0	620.0
0.94872	274.0	658.0
0.97436	260.0	715.0
1.0	307.0	775.0
