f	pi	p0
0.02564	38710.0	42506.0
0.05128	12105.0	18863.0
0.07692	6459.0	10990.0
0.10256	4197.0	7897.0
0.12821	2922.0	5784.0
0.15385	2102.0	4518.0
0.17949	1570.0	3757.0
0.20513	1402.0	3225.0
0.23077	1169.0	2695.0
0.25641	928.0	2155.0
0.28205	852.0	2077.0
0.30769	685.0	1695.0
0.33333	565.0	1667.0
0.35897	611.0	1471.0
0.38462	527.0	1305.0
0.41026	421.0	1271.0
0.4359	386.0	1165.0
0.46154	382.0	1044.0
0.48718	333.0	1047.0
0.51282	299.0	952.0
0.53846	310.0	942.0
0.5641	281.0	829.0
0.58974	274.0	795.0
0.61538	243.0	723.0
0.64103	236.0	733.0
0.66667	214.0	704.0
0.69231	278.0	731.0
0.71795	197.0	663.0
0.74359	213.0	669.0
0.76923	247.0	628.0
0.79487	280.0	704.0
0.82051	217.0	692.0
0.84615	221.0	632.0
0.87179	162.0	631.0
0.89744	256.0	619.0
0.92308	271.0	678.0
0.94872	259.0	679.0
0.97436	269.0	690.0
1.0	284.0	821.0
