f	pi	p0
0.02564	38548.0	42822.0
0.05128	12083.0	18914.0
0.07692	6457.0	11216.0
0.10256	4064.0	7787.0
0.12821	2878.0	5832.0
0.15385	2209.0	4710.0
0.17949	1589.0	3766.0
0.20513	1413.0	3146.0
0.23077	1087.0	2705.0
0.25641	909.0	2228.0
0.28205	790.0	2041.0
0.30769	706.0	1767.0
0.33333	592.0	1471.0
0.35897	603.0	1464.0
0.38462	557.0	1332.0
0.41026	472.0	1227.0
0.4359	385.0	1084.0
0.46154	404.0	1061.0
0.48718	331.0	1023.0
0.51282	306.0	978.0
0.53846	275.0	870.0
0.5641	272.0	791.0
0.58974	225.0	742.0
0.61538	270.0	704.0
0.64103	234.0	642.0
0.66667	267.0	668.0
0.69231	285.0	710.0
0.71795	207.0	743.0
0.74359	187.0	615.0
0.76923	218.0	581.0
0.79487	255.0	619.0
0.82051	206.0	621.0
0.84615	240.0	652.0
0.87179	180.0	609.0
0.89744	225.0	654.0
0.92308	218.0	606.0
0.94872	273.0	713.0
0.97436	223.0	778.0
1.0	319.0	777.0
