f	pi	p0
0.02564	38354.0	43080.0
0.05128	11949.0	18616.0
0.07692	6480.0	11070.0
0.10256	4102.0	7662.0
0.12821	2931.0	5907.0
0.15385	2138.0	4477.0
0.17949	1578.0	3758.0
0.20513	1378.0	3140.0
0.23077	1074.0	2768.0
0.25641	943.0	2187.0
0.28205	808.0	2043.0
0.30769	673.0	1850.0
0.33333	594.0	1483.0
0.35897	589.0	1500.0
0.38462	550.0	1325.0
0.41026	422.0	1230.0
0.4359	404.0	1153.0
0.46154	361.0	971.0
0.48718	333.0	1088.0
0.51282	355.0	936.0
0.53846	301.0	877.0
0.5641	265.0	859.0
0.58974	281.0	834.0
0.61538	235.0	747.0
0.64103	268.0	734.0
0.66667	225.0	683.0
0.69231	260.0	689.0
0.71795	223.0	658.0
0.74359	205.0	565.0
0.76923	222.0	610.0
0.79487	250.0	630.0
0.82051	177.0	667.0
0.84615	222.0	707.0
0.87179	188.0	619.0
0.89744	238.0	709.0
0.92308	187.0	537.0
0.94872	295.0	727.0
0.97436	274.0	685.0
1.0	285.0	768.0
