f	pi	p0
0.02564	38493.0	43133.0
0.05128	11968.0	18761.0
0.07692	6366.0	11259.0
0.10256	4097.0	7630.0
0.12821	2898.0	5776.0
0.15385	2122.0	4473.0
0.17949	1617.0	3708.0
0.20513	1330.0	3124.0
0.23077	1155.0	2612.0
0.25641	953.0	2104.0
0.28205	816.0	1950.0
0.30769	681.0	1686.0
0.33333	587.0	1526.0
0.35897	618.0	1514.0
0.38462	525.0	1230.0
0.41026	443.0	1201.0
0.4359	399.0	1180.0
0.46154	369.0	935.0
0.48718	333.0	1066.0
0.51282	326.0	913.0
0.53846	311.0	851.0
0.5641	285.0	816.0
0.58974	264.0	794.0
0.61538	221.0	706.0
0.64103	206.0	665.0
0.66667	236.0	706.0
0.69231	269.0	648.0
0.71795	202.0	600.0
0.74359	188.0	630.0
0.76923	208.0	556.0
0.79487	260.0	618.0
0.82051	229.0	631.0
0.84615	256.0	643.0
0.87179	170.0	542.0
0.89744	241.0	622.0
0.92308	208.0	596.0
0.94872	254.0	709.0
0.97436	244.0	641.0
1.0	282.0	823.0
