f	pi	p0
0.02564	38615.0	42603.0
0.05128	11988.0	18784.0
0.07692	6515.0	11625.0
0.10256	4034.0	7649.0
0.12821	2922.0	5740.0
0.15385	2051.0	4457.0
0.17949	1654.0	3675.0
0.20513	1355.0	3126.0
0.23077	1107.0	2526.0
0.25641	989.0	2200.0
0.28205	806.0	1954.0
0.30769	630.0	1851.0
0.33333	590.0	1573.0
0.35897	633.0	1507.0
0.38462	546.0	1263.0
0.41026	455.0	1193.0
0.4359	436.0	1187.0
0.46154	408.0	997.0
0.48718	334.0	965.0
0.51282	365.0	939.0
0.53846	265.0	819.0
0.5641	273.0	787.0
0.58974	277.0	768.0
0.61538	255.0	774.0
0.64103	216.0	731.0
0.66667	231.0	724.0
0.69231	274.0	734.0
0.71795	223.0	652.0
0.74359	231.0	680.0
0.76923	232.0	635.0
0.79487	208.0	567.0
0.82051	207.0	631.0
0.84615	205.0	637.0
0.87179	188.0	553.0
0.89744	239.0	659.0
0.92308	248.0	638.0
0.94872	295.0	722.0
0.97436	264.0	663.0
1.0	263.0	710.0
