f	pi	p0
0.02564	4301.0	5258.0
0.05128	1588.0	2451.0
0.07692	749.0	1487.0
0.10256	599.0	1160.0
0.12821	387.0	883.0
0.15385	277.0	689.0
0.17949	278.0	638.0
0.20513	215.0	531.0
0.23077	170.0	461.0
0.25641	140.0	400.0
0.28205	140.0	351.0
0.30769	118.0	337.0
0.33333	115.0	335.0
0.35897	100.0	287.0
0.38462	95.0	278.0
0.41026	102.0	230.0
0.4359	79.0	202.0
0.46154	59.0	189.0
0.48718	61.0	135.0
0.51282	73.0	214.0
0.53846	45.0	197.0
0.5641	38.0	159.0
0.58974	58.0	179.0
0.61538	34.0	133.0
0.64103	47.0	139.0
0.66667	52.0	130.0
0.69231	27.0	120.0
0.71795	40.0	170.0
0.74359	38.0	121.0
0.76923	31.0	104.0
0.79487	40.0	116.0
0.82051	23.0	128.0
0.84615	35.0	105.0
0.87179	32.0	127.0
0.89744	38.0	111.0
0.92308	47.0	71.0
0.94872	60.0	94.0
0.97436	22.0	93.0
1.0	38.0	125.0
