f	pi	p0
0.02564	4329.0	5061.0
0.05128	1487.0	2551.0
0.07692	760.0	1511.0
0.10256	517.0	1131.0
0.12821	376.0	802.0
0.15385	273.0	688.0
0.17949	264.0	560.0
0.20513	188.0	562.0
0.23077	161.0	450.0
0.25641	127.0	395.0
0.28205	147.0	352.0
0.30769	109.0	287.0
0.33333	121.0	275.0
0.35897	94.0	316.0
0.38462	72.0	261.0
0.41026	89.0	248.0
0.4359	72.0	195.0
0.46154	60.0	228.0
0.48718	58.0	145.0
0.51282	71.0	218.0
0.53846	31.0	195.0
0.5641	59.0	146.0
0.58974	45.0	192.0
0.61538	28.0	158.0
0.64103	33.0	129.0
0.66667	44.0	107.0
0.69231	22.0	128.0
0.71795	32.0	185.0
0.74359	27.0	112.0
0.76923	32.0	109.0
0.79487	39.0	135.0
0.82051	31.0	112.0
0.84615	38.0	99.0
0.87179	24.0	134.0
0.89744	38.0	120.0
0.92308	38.0	78.0
0.94872	45.0	107.0
0.97436	24.0	97.0
1.0	44.0	122.0
