f	pi	p0
0.02564	4239.0	5197.0
0.05128	1480.0	2566.0
0.07692	812.0	1643.0
0.10256	517.0	1088.0
0.12821	441.0	848.0
0.15385	293.0	668.0
0.17949	254.0	577.0
0.20513	186.0	573.0
0.23077	154.0	498.0
0.25641	140.0	406.0
0.28205	130.0	346.0
0.30769	138.0	322.0
0.33333	115.0	308.0
0.35897	99.0	326.0
0.38462	78.0	285.0
0.41026	83.0	245.0
0.4359	82.0	262.0
0.46154	76.0	188.0
0.48718	64.0	132.0
0.51282	84.0	230.0
0.53846	43.0	164.0
0.5641	49.0	132.0
0.58974	64.0	185.0
0.61538	30.0	172.0
0.64103	40.0	149.0
0.66667	47.0	124.0
0.69231	22.0	117.0
0.71795	28.0	144.0
0.74359	25.0	114.0
0.76923	31.0	117.0
0.79487	40.0	139.0
0.82051	32.0	93.0
0.84615	42.0	144.0
0.87179	32.0	146.0
0.89744	24.0	117.0
0.92308	51.0	93.0
0.94872	46.0	105.0
0.97436	40.0	82.0
1.0	39.0	123.0
