f	pi	p0
0.02564	4216.0	5201.0
0.05128	1509.0	2472.0
0.07692	822.0	1568.0
0.10256	542.0	1149.0
0.12821	361.0	834.0
0.15385	303.0	703.0
0.17949	240.0	617.0
0.20513	213.0	529.0
0.23077	168.0	421.0
0.25641	112.0	470.0
0.28205	151.0	344.0
0.30769	118.0	364.0
0.33333	104.0	321.0
0.35897	101.0	301.0
0.38462	75.0	274.0
0.41026	91.0	253.0
0.4359	73.0	191.0
0.46154	75.0	181.0
0.48718	72.0	153.0
0.51282	76.0	217.0
0.53846	48.0	174.0
0.5641	50.0	164.0
0.58974	36.0	192.0
0.61538	29.0	169.0
0.64103	41.0	130.0
0.66667	43.0	143.0
0.69231	26.0	131.0
0.71795	33.0	197.0
0.74359	38.0	123.0
0.76923	34.0	110.0
0.79487	33.0	123.0
0.82051	33.0	85.0
0.84615	32.0	98.0
0.87179	31.0	161.0
0.89744	45.0	112.0
0.92308	39.0	87.0
0.94872	23.0	96.0
0.97436	37.0	73.0
1.0	36.0	137.0
