f	pi	p0
0.02564	4307.0	5181.0
0.05128	1541.0	2508.0
0.07692	782.0	1584.0
0.10256	531.0	1209.0
0.12821	371.0	870.0
0.15385	272.0	696.0
0.17949	256.0	609.0
0.20513	211.0	587.0
0.23077	145.0	456.0
0.25641	124.0	438.0
0.28205	133.0	331.0
0.30769	100.0	333.0
0.33333	113.0	310.0
0.35897	119.0	270.0
0.38462	81.0	254.0
0.41026	70.0	232.0
0.4359	66.0	213.0
0.46154	66.0	181.0
0.48718	61.0	163.0
0.51282	66.0	224.0
0.53846	45.0	200.0
0.5641	51.0	138.0
0.58974	50.0	178.0
0.61538	49.0	147.0
0.64103	46.0	130.0
0.66667	41.0	131.0
0.69231	25.0	120.0
0.71795	39.0	161.0
0.74359	30.0	120.0
0.76923	34.0	137.0
0.79487	28.0	130.0
0.82051	34.0	114.0
0.84615	44.0	131.0
0.87179	33.0	114.0
0.89744	38.0	135.0
0.92308	53.0	88.0
0.94872	39.0	92.0
0.97436	33.0	79.0
1.0	43.0	142.0
